sample cov
Tbi_00 11.6315
Tbi_01 12.578
Tbi_02 16.182
Tbi_03 26.9378
Tbi_04 16.7259
Tbi_05 13.6102
Tce_00 10.8731
Tce_01 19.8819
Tce_02 14.4177
Tce_03 15.6522
Tce_04 13.0435
Tce_05 14.7702
Tcm_00 8.04951
Tcm_01 13.003
Tcm_02 13.1193
Tcm_03 14.5551
Tcm_04 11.5341
Tcm_05 11.9192
Tdi_00 9.32286
Tdi_01 15.1593
Tdi_02 15.784
Tdi_03 14.8449
Tdi_04 13.786
Tdi_05 13.135
Tge_00 12.8934
Tge_01 13.9302
Tge_02 17.8621
Tge_03 18.0395
Tge_04 14.29
Tge_05 16.4284
Tms_00 10.9285
Tms_01 15.4699
Tms_02 16.6543
Tms_03 17.5261
Tms_04 21.271
Tms_05 19.1602
Tpa_00 8.56339
Tpa_01 12.8241
Tpa_02 12.4285
Tpa_03 13.084
Tpa_04 12.3186
Tpa_05 19.0493
Tps_00 9.58672
Tps_01 16.2227
Tps_02 13.5454
Tps_03 17.0652
Tps_04 12.2376
Tps_05 13.3285
Tsi_00 10.5727
Tsi_01 9.5773
Tsi_02 9.96396
Tsi_03 14.8207
Tsi_04 15.1002
Tsi_05 18.2313
Tte_00 11.3349
Tte_01 8.77789
Tte_02 14.5219
Tte_03 21.5177
Tte_04 12.4904
Tte_05 19.162
