sp	01_SNPs_het	02_SNPs_het	03_SNPs_het	04_SNPs_het	05_SNPs_het	01_SNPs	02_SNPs	03_SNPs	04_SNPs	05_SNPs	total_sp_SNPs	callable_sites	total_SVs	02_SVs_het	03_SVs_het	04_SVs_het	05_SVs_het	02_SVs	03_SVs	04_SVs	05_SVs	01_SVs_het	01_SVs
4_Tte	NA	5289	5459	5601	5427	NA	228861	228893	228773	228866	228932	980178552	4205	656	941	673	929	1872	2561	1804	2457	NA	NA
4_Tbi	1393626	1538730	1726283	1517311	1466576	4238810	4242047	4244607	4242283	4239539	4247632	920445028	35280	7473	8797	7729	6818	14303	17112	14908	13123	5644	11519
2_Tsi	NA	NA	NA	14087	14055	NA	NA	NA	288466	288509	288657	896299726	1940	NA	NA	861	799	NA	NA	1242	1280	NA	NA
2_Tcm	2330550	2268347	2908369	2804364	2866672	6179461	6187260	6186442	6184831	6185921	6195270	899565414	29005	5620	6277	5537	5891	9462	10961	9304	9474	5593	10646
3_Tms	5494	5913	4627	4845	7503	1247039	1248042	1249793	1249583	1247384	1250193	991389399	9137	720	694	792	775	3597	2759	3402	4149	780	3919
3_Tce	3552744	3561249	3739712	3637306	3599296	9401010	9402544	9400211	9399916	9402251	9422400	902715794	52722	9854	10195	9985	10593	17537	17819	16741	19294	12292	22881
1_Tdi	10910	6892	10708	13741	11979	1916451	1918732	1917080	1916562	1916788	1919308	966024897	12357	687	1098	1141	1030	1128	4401	5666	4781	1310	5601
1_Tps	1421750	1343526	1371695	NA	NA	3350695	3350333	3351015	NA	NA	3354250	874807942	15631	3977	4143	NA	NA	6919	7770	NA	NA	4349	7467
5_Tge	3427	3201	3188	3176	3275	12212	12223	12226	12217	12225	12228	960991903	2211	477	524	481	475	972	972	830	946	335	699
5_Tpa	2417403	2312882	2481543	2439815	2467109	6367206	6340166	6369602	6367539	6336412	6393763	705548015	72482	10707	12752	11883	13999	20871	24307	22414	26091	12861	24841
