lg	lg_from	lg_to	genome_from	genome_to	uniq_mapped	SNPs	SVs
1	lg1	0	1e+06	0	0	0.106	238	1
2	lg1	1e+06	2e+06	1e+06	1e+06	0.046	9	0
3	lg1	2e+06	3e+06	2e+06	2e+06	0.294	36	1
4	lg1	3e+06	4e+06	3e+06	3e+06	0.125	262	2
5	lg1	4e+06	5e+06	4e+06	4e+06	0.352	47	0
6	lg1	5e+06	6e+06	5e+06	5e+06	0.733	301	3
7	lg1	6e+06	7e+06	6e+06	6e+06	0.406	3643	20
8	lg1	7e+06	8e+06	7e+06	7e+06	0.473	522	2
9	lg1	8e+06	9e+06	8e+06	8e+06	0.439	3055	21
10	lg1	9e+06	1e+07	9e+06	9e+06	0.246	875	4
11	lg1	1e+07	1.1e+07	1e+07	1e+07	0.087	54	0
12	lg1	1.1e+07	1.2e+07	1.1e+07	1.1e+07	0.326	1100	9
13	lg1	1.2e+07	1.3e+07	1.2e+07	1.2e+07	0.121	444	1
14	lg1	1.3e+07	1.4e+07	1.3e+07	1.3e+07	0.241	1395	2
15	lg1	1.4e+07	1.5e+07	1.4e+07	1.4e+07	0	0	0
16	lg1	1.5e+07	1.6e+07	1.5e+07	1.5e+07	0.032	0	0
17	lg1	1.6e+07	1.7e+07	1.6e+07	1.6e+07	0.601	56	5
18	lg1	1.7e+07	1.8e+07	1.7e+07	1.7e+07	0.072	6	1
19	lg1	1.8e+07	1.9e+07	1.8e+07	1.8e+07	0.427	43	1
20	lg1	1.9e+07	2e+07	1.9e+07	1.9e+07	0.303	30	0
21	lg1	2e+07	2.1e+07	2e+07	2e+07	0.355	29	3
22	lg1	2.1e+07	2.2e+07	2.1e+07	2.1e+07	0.11	284	3
23	lg1	2.2e+07	2.3e+07	2.2e+07	2.2e+07	0.233	30	2
24	lg1	2.3e+07	2.4e+07	2.3e+07	2.3e+07	0.284	1978	12
25	lg1	2.4e+07	2.5e+07	2.4e+07	2.4e+07	0.238	396	6
26	lg1	2.5e+07	2.6e+07	2.5e+07	2.5e+07	0.028	6	0
27	lg1	2.6e+07	2.7e+07	2.6e+07	2.6e+07	0.163	166	1
28	lg1	2.7e+07	2.8e+07	2.7e+07	2.7e+07	0.202	1180	7
29	lg1	2.8e+07	2.9e+07	2.8e+07	2.8e+07	0.421	74	1
30	lg1	2.9e+07	3e+07	2.9e+07	2.9e+07	0.319	262	2
31	lg1	3e+07	3.1e+07	3e+07	3e+07	0.284	810	5
32	lg1	3.1e+07	3.2e+07	3.1e+07	3.1e+07	0.153	77	0
33	lg1	3.2e+07	3.3e+07	3.2e+07	3.2e+07	0.195	296	1
34	lg1	3.3e+07	3.4e+07	3.3e+07	3.3e+07	0.156	14	0
35	lg1	3.4e+07	3.5e+07	3.4e+07	3.4e+07	0.266	26	2
36	lg1	3.5e+07	3.6e+07	3.5e+07	3.5e+07	0.523	29	0
37	lg1	3.6e+07	3.7e+07	3.6e+07	3.6e+07	0.603	3289	19
38	lg1	3.7e+07	3.8e+07	3.7e+07	3.7e+07	0.271	1975	4
39	lg1	3.8e+07	3.9e+07	3.8e+07	3.8e+07	0.21	1097	6
40	lg1	3.9e+07	4e+07	3.9e+07	3.9e+07	0.515	1709	13
41	lg1	4e+07	4.1e+07	4e+07	4e+07	0.525	1492	5
42	lg1	4.1e+07	4.2e+07	4.1e+07	4.1e+07	0.38	570	3
43	lg1	4.2e+07	4.3e+07	4.2e+07	4.2e+07	0.275	497	4
44	lg1	4.3e+07	4.4e+07	4.3e+07	4.3e+07	0.262	30	3
45	lg1	4.4e+07	4.5e+07	4.4e+07	4.4e+07	0.152	15	0
46	lg1	4.5e+07	4.6e+07	4.5e+07	4.5e+07	0.049	2	1
47	lg1	4.6e+07	4.7e+07	4.6e+07	4.6e+07	0.14	828	6
48	lg1	4.7e+07	4.8e+07	4.7e+07	4.7e+07	0.279	39	1
49	lg1	4.8e+07	4.9e+07	4.8e+07	4.8e+07	0.242	54	1
50	lg1	4.9e+07	5e+07	4.9e+07	4.9e+07	0.306	42	1
51	lg1	5e+07	5.1e+07	5e+07	5e+07	0.492	1261	10
52	lg1	5.1e+07	5.2e+07	5.1e+07	5.1e+07	0.121	41	0
53	lg1	5.2e+07	5.3e+07	5.2e+07	5.2e+07	0.038	3	0
54	lg1	5.3e+07	5.4e+07	5.3e+07	5.3e+07	0.138	136	1
55	lg1	5.4e+07	5.5e+07	5.4e+07	5.4e+07	0.115	4	0
56	lg1	5.5e+07	5.6e+07	5.5e+07	5.5e+07	0.029	4	0
57	lg1	5.6e+07	5.7e+07	5.6e+07	5.6e+07	0	0	0
58	lg1	5.7e+07	5.8e+07	5.7e+07	5.7e+07	0	0	0
59	lg1	5.8e+07	5.9e+07	5.8e+07	5.8e+07	0	0	0
60	lg1	5.9e+07	6e+07	5.9e+07	5.9e+07	0	0	0
61	lg2	0	1e+06	6e+07	6e+07	0.149	8	2
62	lg2	1e+06	2e+06	6.1e+07	6.1e+07	0.046	2	0
63	lg2	2e+06	3e+06	6.2e+07	6.2e+07	0.291	17	0
64	lg2	3e+06	4e+06	6.3e+07	6.3e+07	0.028	502	2
65	lg2	4e+06	5e+06	6.4e+07	6.4e+07	0.101	9	0
66	lg2	5e+06	6e+06	6.5e+07	6.5e+07	0	0	0
67	lg2	6e+06	7e+06	6.6e+07	6.6e+07	0.075	8	0
68	lg2	7e+06	8e+06	6.7e+07	6.7e+07	0.242	12	0
69	lg2	8e+06	9e+06	6.8e+07	6.8e+07	0.143	663	4
70	lg2	9e+06	1e+07	6.9e+07	6.9e+07	0.399	767	2
71	lg2	1e+07	1.1e+07	7e+07	7e+07	0.062	3	0
72	lg2	1.1e+07	1.2e+07	7.1e+07	7.1e+07	0.081	236	1
73	lg2	1.2e+07	1.3e+07	7.2e+07	7.2e+07	0.296	2005	18
74	lg2	1.3e+07	1.4e+07	7.3e+07	7.3e+07	0.166	18	1
75	lg2	1.4e+07	1.5e+07	7.4e+07	7.4e+07	0.321	19	0
76	lg2	1.5e+07	1.6e+07	7.5e+07	7.5e+07	0.749	2714	16
77	lg2	1.6e+07	1.7e+07	7.6e+07	7.6e+07	0.889	4439	21
78	lg2	1.7e+07	1.8e+07	7.7e+07	7.7e+07	0.763	93	6
79	lg2	1.8e+07	1.9e+07	7.8e+07	7.8e+07	0.833	5345	39
80	lg2	1.9e+07	2e+07	7.9e+07	7.9e+07	0.701	2623	9
81	lg2	2e+07	2.1e+07	8e+07	8e+07	0.837	1727	8
82	lg2	2.1e+07	2.2e+07	8.1e+07	8.1e+07	0.861	3509	14
83	lg2	2.2e+07	2.3e+07	8.2e+07	8.2e+07	0.85	15697	58
84	lg2	2.3e+07	2.4e+07	8.3e+07	8.3e+07	0.844	6184	27
85	lg2	2.4e+07	2.5e+07	8.4e+07	8.4e+07	0.951	118	1
86	lg2	2.5e+07	2.6e+07	8.5e+07	8.5e+07	0.627	65	1
87	lg2	2.6e+07	2.7e+07	8.6e+07	8.6e+07	0.803	1173	5
88	lg2	2.7e+07	2.8e+07	8.7e+07	8.7e+07	0.938	1973	6
89	lg2	2.8e+07	2.9e+07	8.8e+07	8.8e+07	0.657	69	4
90	lg2	2.9e+07	3e+07	8.9e+07	8.9e+07	0.689	79	2
91	lg2	3e+07	3.1e+07	9e+07	9e+07	0.401	96	1
92	lg2	3.1e+07	3.2e+07	9.1e+07	9.1e+07	0.674	73	2
93	lg2	3.2e+07	3.3e+07	9.2e+07	9.2e+07	0.246	724	5
94	lg2	3.3e+07	3.4e+07	9.3e+07	9.3e+07	0.544	837	8
95	lg2	3.4e+07	3.5e+07	9.4e+07	9.4e+07	0.16	598	7
96	lg2	3.5e+07	3.6e+07	9.5e+07	9.5e+07	0.007	67	2
97	lg2	3.6e+07	3.7e+07	9.6e+07	9.6e+07	0.423	33	3
98	lg2	3.7e+07	3.8e+07	9.7e+07	9.7e+07	0.016	2	0
99	lg2	3.8e+07	3.9e+07	9.8e+07	9.8e+07	0.387	47	1
100	lg2	3.9e+07	4e+07	9.9e+07	9.9e+07	0.168	48	1
101	lg2	4e+07	4.1e+07	1e+08	1e+08	0.158	522	1
