lg	lg_from	lg_to	genome_from	genome_to	uniq_mapped	SNPs	SVs
1	lg1	0	1e+06	0	0	0.044	333	1
2	lg1	1e+06	2e+06	1e+06	1e+06	0.123	229	1
3	lg1	2e+06	3e+06	2e+06	2e+06	0.068	180	0
4	lg1	3e+06	4e+06	3e+06	3e+06	0.086	359	2
5	lg1	4e+06	5e+06	4e+06	4e+06	0.254	765	7
6	lg1	5e+06	6e+06	5e+06	5e+06	0.392	329	3
7	lg1	6e+06	7e+06	6e+06	6e+06	0.306	802	5
8	lg1	7e+06	8e+06	7e+06	7e+06	0.244	2850	13
9	lg1	8e+06	9e+06	8e+06	8e+06	0.263	1108	4
10	lg1	9e+06	1e+07	9e+06	9e+06	0.229	5628	15
11	lg1	1e+07	1.1e+07	1e+07	1e+07	0.257	1824	7
12	lg1	1.1e+07	1.2e+07	1.1e+07	1.1e+07	0.112	1470	5
13	lg1	1.2e+07	1.3e+07	1.2e+07	1.2e+07	0.436	1727	7
14	lg1	1.3e+07	1.4e+07	1.3e+07	1.3e+07	0.38	2283	6
15	lg1	1.4e+07	1.5e+07	1.4e+07	1.4e+07	0.09	759	2
16	lg1	1.5e+07	1.6e+07	1.5e+07	1.5e+07	0.208	629	5
17	lg1	1.6e+07	1.7e+07	1.6e+07	1.6e+07	0.338	335	0
18	lg1	1.7e+07	1.8e+07	1.7e+07	1.7e+07	0.058	136	0
19	lg1	1.8e+07	1.9e+07	1.8e+07	1.8e+07	0.123	1162	4
20	lg1	1.9e+07	2e+07	1.9e+07	1.9e+07	0.393	3333	31
21	lg1	2e+07	2.1e+07	2e+07	2e+07	0.363	3119	20
22	lg1	2.1e+07	2.2e+07	2.1e+07	2.1e+07	0.196	1004	4
23	lg1	2.2e+07	2.3e+07	2.2e+07	2.2e+07	0.157	736	0
24	lg1	2.3e+07	2.4e+07	2.3e+07	2.3e+07	0.196	1257	6
25	lg1	2.4e+07	2.5e+07	2.4e+07	2.4e+07	0.106	265	4
26	lg1	2.5e+07	2.6e+07	2.5e+07	2.5e+07	0.05	61	0
27	lg1	2.6e+07	2.7e+07	2.6e+07	2.6e+07	0.189	1708	13
28	lg1	2.7e+07	2.8e+07	2.7e+07	2.7e+07	0.358	665	7
29	lg1	2.8e+07	2.9e+07	2.8e+07	2.8e+07	0.518	4488	17
30	lg1	2.9e+07	3e+07	2.9e+07	2.9e+07	0.325	2699	11
31	lg1	3e+07	3.1e+07	3e+07	3e+07	0.188	238	1
32	lg1	3.1e+07	3.2e+07	3.1e+07	3.1e+07	0.055	119	0
33	lg1	3.2e+07	3.3e+07	3.2e+07	3.2e+07	0.128	501	1
34	lg1	3.3e+07	3.4e+07	3.3e+07	3.3e+07	0.403	1250	8
35	lg1	3.4e+07	3.5e+07	3.4e+07	3.4e+07	0.474	2047	18
36	lg1	3.5e+07	3.6e+07	3.5e+07	3.5e+07	0.247	544	1
37	lg1	3.6e+07	3.7e+07	3.6e+07	3.6e+07	0.417	1458	12
38	lg1	3.7e+07	3.8e+07	3.7e+07	3.7e+07	0.419	1639	9
39	lg1	3.8e+07	3.9e+07	3.8e+07	3.8e+07	0.424	2023	6
40	lg1	3.9e+07	4e+07	3.9e+07	3.9e+07	0.204	1063	7
41	lg1	4e+07	4.1e+07	4e+07	4e+07	0.256	1341	5
42	lg1	4.1e+07	4.2e+07	4.1e+07	4.1e+07	0.218	911	3
43	lg1	4.2e+07	4.3e+07	4.2e+07	4.2e+07	0.015	16	0
44	lg1	4.3e+07	4.4e+07	4.3e+07	4.3e+07	0.424	1539	2
45	lg1	4.4e+07	4.5e+07	4.4e+07	4.4e+07	0.028	45	1
46	lg1	4.5e+07	4.6e+07	4.5e+07	4.5e+07	0.018	14	0
47	lg1	4.6e+07	4.7e+07	4.6e+07	4.6e+07	0.013	83	0
48	lg1	4.7e+07	4.8e+07	4.7e+07	4.7e+07	0.095	183	1
49	lg1	4.8e+07	4.9e+07	4.8e+07	4.8e+07	0.062	191	1
50	lg1	4.9e+07	5e+07	4.9e+07	4.9e+07	0.126	198	1
51	lg1	5e+07	5.1e+07	5e+07	5e+07	0.015	17	0
52	lg1	5.1e+07	5.2e+07	5.1e+07	5.1e+07	0.062	124	2
53	lg1	5.2e+07	5.3e+07	5.2e+07	5.2e+07	0	0	0
54	lg1	5.3e+07	5.4e+07	5.3e+07	5.3e+07	0	0	0
55	lg1	5.4e+07	5.5e+07	5.4e+07	5.4e+07	0.027	98	0
56	lg1	5.5e+07	5.6e+07	5.5e+07	5.5e+07	0.073	215	1
57	lg1	5.6e+07	5.7e+07	5.6e+07	5.6e+07	0	8	0
58	lg1	5.7e+07	5.8e+07	5.7e+07	5.7e+07	0	0	0
59	lg1	5.8e+07	5.9e+07	5.8e+07	5.8e+07	0	0	0
60	lg1	5.9e+07	6e+07	5.9e+07	5.9e+07	0	0	0
61	lg2	0	1e+06	6e+07	6e+07	0.059	46	0
62	lg2	1e+06	2e+06	6.1e+07	6.1e+07	0	0	0
63	lg2	2e+06	3e+06	6.2e+07	6.2e+07	0.228	116	0
64	lg2	3e+06	4e+06	6.3e+07	6.3e+07	0.051	51	1
65	lg2	4e+06	5e+06	6.4e+07	6.4e+07	0.033	38	1
66	lg2	5e+06	6e+06	6.5e+07	6.5e+07	0.016	4	0
67	lg2	6e+06	7e+06	6.6e+07	6.6e+07	0.23	2189	10
68	lg2	7e+06	8e+06	6.7e+07	6.7e+07	0.069	404	4
69	lg2	8e+06	9e+06	6.8e+07	6.8e+07	0.05	97	1
70	lg2	9e+06	1e+07	6.9e+07	6.9e+07	0.125	2147	3
71	lg2	1e+07	1.1e+07	7e+07	7e+07	0.105	195	3
72	lg2	1.1e+07	1.2e+07	7.1e+07	7.1e+07	0.089	117	2
73	lg2	1.2e+07	1.3e+07	7.2e+07	7.2e+07	0.269	808	5
74	lg2	1.3e+07	1.4e+07	7.3e+07	7.3e+07	0.26	1318	9
75	lg2	1.4e+07	1.5e+07	7.4e+07	7.4e+07	0.298	2098	10
76	lg2	1.5e+07	1.6e+07	7.5e+07	7.5e+07	0.539	2792	11
77	lg2	1.6e+07	1.7e+07	7.6e+07	7.6e+07	0.493	2295	10
78	lg2	1.7e+07	1.8e+07	7.7e+07	7.7e+07	0.866	3395	10
