lg	lg_from	lg_to	genome_from	genome_to	uniq_mapped	SNPs	SVs
1	lg1	0	1e+06	0	0	0.083	455	3
2	lg1	1e+06	2e+06	1e+06	1e+06	0.018	148	0
3	lg1	2e+06	3e+06	2e+06	2e+06	0.051	250	2
4	lg1	3e+06	4e+06	3e+06	3e+06	0.312	2201	16
5	lg1	4e+06	5e+06	4e+06	4e+06	0.182	576	4
6	lg1	5e+06	6e+06	5e+06	5e+06	0.462	1379	13
7	lg1	6e+06	7e+06	6e+06	6e+06	0.401	3785	11
8	lg1	7e+06	8e+06	7e+06	7e+06	0.368	2174	7
9	lg1	8e+06	9e+06	8e+06	8e+06	0.357	3983	13
10	lg1	9e+06	1e+07	9e+06	9e+06	0.16	2721	6
11	lg1	1e+07	1.1e+07	1e+07	1e+07	0.157	1122	1
12	lg1	1.1e+07	1.2e+07	1.1e+07	1.1e+07	0.294	1362	6
13	lg1	1.2e+07	1.3e+07	1.2e+07	1.2e+07	0.125	720	3
14	lg1	1.3e+07	1.4e+07	1.3e+07	1.3e+07	0.34	4367	15
15	lg1	1.4e+07	1.5e+07	1.4e+07	1.4e+07	0	0	0
16	lg1	1.5e+07	1.6e+07	1.5e+07	1.5e+07	0.278	705	4
17	lg1	1.6e+07	1.7e+07	1.6e+07	1.6e+07	0.391	2062	11
18	lg1	1.7e+07	1.8e+07	1.7e+07	1.7e+07	0.063	174	0
19	lg1	1.8e+07	1.9e+07	1.8e+07	1.8e+07	0.365	1614	13
20	lg1	1.9e+07	2e+07	1.9e+07	1.9e+07	0.6	4359	33
21	lg1	2e+07	2.1e+07	2e+07	2e+07	0.314	3914	14
22	lg1	2.1e+07	2.2e+07	2.1e+07	2.1e+07	0.176	1368	15
23	lg1	2.2e+07	2.3e+07	2.2e+07	2.2e+07	0.331	3128	13
24	lg1	2.3e+07	2.4e+07	2.3e+07	2.3e+07	0.096	271	4
25	lg1	2.4e+07	2.5e+07	2.4e+07	2.4e+07	0.159	635	7
26	lg1	2.5e+07	2.6e+07	2.5e+07	2.5e+07	0.294	2655	9
27	lg1	2.6e+07	2.7e+07	2.6e+07	2.6e+07	0.05	379	2
28	lg1	2.7e+07	2.8e+07	2.7e+07	2.7e+07	0.374	2269	9
29	lg1	2.8e+07	2.9e+07	2.8e+07	2.8e+07	0.617	2578	19
