lg	lg_from	lg_to	genome_from	genome_to	uniq_mapped	SNPs	SVs
1	lg1	0	1e+06	0	0	0.083	0	0
2	lg1	1e+06	2e+06	1e+06	1e+06	0.034	2	0
3	lg1	2e+06	3e+06	2e+06	2e+06	0.149	5	0
4	lg1	3e+06	4e+06	3e+06	3e+06	0.403	23	0
5	lg1	4e+06	5e+06	4e+06	4e+06	0.322	62	0
6	lg1	5e+06	6e+06	5e+06	5e+06	0.335	5	1
7	lg1	6e+06	7e+06	6e+06	6e+06	0.541	11	0
8	lg1	7e+06	8e+06	7e+06	7e+06	0.653	28	0
9	lg1	8e+06	9e+06	8e+06	8e+06	0.338	20	1
10	lg1	9e+06	1e+07	9e+06	9e+06	0.305	179	0
11	lg1	1e+07	1.1e+07	1e+07	1e+07	0.295	4	0
12	lg1	1.1e+07	1.2e+07	1.1e+07	1.1e+07	0.21	10	0
13	lg1	1.2e+07	1.3e+07	1.2e+07	1.2e+07	0.06	3	0
14	lg1	1.3e+07	1.4e+07	1.3e+07	1.3e+07	0.019	1	0
15	lg1	1.4e+07	1.5e+07	1.4e+07	1.4e+07	0	0	0
16	lg1	1.5e+07	1.6e+07	1.5e+07	1.5e+07	0.062	2	0
17	lg1	1.6e+07	1.7e+07	1.6e+07	1.6e+07	0.408	8	0
18	lg1	1.7e+07	1.8e+07	1.7e+07	1.7e+07	0.146	6	0
19	lg1	1.8e+07	1.9e+07	1.8e+07	1.8e+07	0.443	12	2
20	lg1	1.9e+07	2e+07	1.9e+07	1.9e+07	0.421	21	3
21	lg1	2e+07	2.1e+07	2e+07	2e+07	0.424	15	0
22	lg1	2.1e+07	2.2e+07	2.1e+07	2.1e+07	0.507	13	2
23	lg1	2.2e+07	2.3e+07	2.2e+07	2.2e+07	0.452	9	1
24	lg1	2.3e+07	2.4e+07	2.3e+07	2.3e+07	0.096	2	0
25	lg1	2.4e+07	2.5e+07	2.4e+07	2.4e+07	0.163	3	0
26	lg1	2.5e+07	2.6e+07	2.5e+07	2.5e+07	0.097	1	0
27	lg1	2.6e+07	2.7e+07	2.6e+07	2.6e+07	0.096	3	0
28	lg1	2.7e+07	2.8e+07	2.7e+07	2.7e+07	0.422	15	0
29	lg1	2.8e+07	2.9e+07	2.8e+07	2.8e+07	0.249	11	1
30	lg1	2.9e+07	3e+07	2.9e+07	2.9e+07	0.372	10	1
31	lg1	3e+07	3.1e+07	3e+07	3e+07	0.34	10	1
32	lg1	3.1e+07	3.2e+07	3.1e+07	3.1e+07	0.19	3	3
33	lg1	3.2e+07	3.3e+07	3.2e+07	3.2e+07	0.062	26	0
34	lg1	3.3e+07	3.4e+07	3.3e+07	3.3e+07	0.169	8	0
35	lg1	3.4e+07	3.5e+07	3.4e+07	3.4e+07	0.625	23	1
36	lg1	3.5e+07	3.6e+07	3.5e+07	3.5e+07	0.587	17	2
37	lg1	3.6e+07	3.7e+07	3.6e+07	3.6e+07	0.514	11	0
38	lg1	3.7e+07	3.8e+07	3.7e+07	3.7e+07	0.63	28	1
39	lg1	3.8e+07	3.9e+07	3.8e+07	3.8e+07	0.554	28	1
40	lg1	3.9e+07	4e+07	3.9e+07	3.9e+07	0.696	30	0
41	lg1	4e+07	4.1e+07	4e+07	4e+07	0.3	17	0
42	lg1	4.1e+07	4.2e+07	4.1e+07	4.1e+07	0.228	10	0
43	lg1	4.2e+07	4.3e+07	4.2e+07	4.2e+07	0.208	28	0
44	lg1	4.3e+07	4.4e+07	4.3e+07	4.3e+07	0.424	90	2
45	lg1	4.4e+07	4.5e+07	4.4e+07	4.4e+07	0.068	1	0
46	lg1	4.5e+07	4.6e+07	4.5e+07	4.5e+07	0.473	11	1
47	lg1	4.6e+07	4.7e+07	4.6e+07	4.6e+07	0.007	0	0
48	lg1	4.7e+07	4.8e+07	4.7e+07	4.7e+07	0.373	38	1
49	lg1	4.8e+07	4.9e+07	4.8e+07	4.8e+07	0.314	219	1
50	lg1	4.9e+07	5e+07	4.9e+07	4.9e+07	0.214	3	1
51	lg1	5e+07	5.1e+07	5e+07	5e+07	0.362	7	0
52	lg1	5.1e+07	5.2e+07	5.1e+07	5.1e+07	0.306	9	0
53	lg1	5.2e+07	5.3e+07	5.2e+07	5.2e+07	0.177	11	0
54	lg1	5.3e+07	5.4e+07	5.3e+07	5.3e+07	0.083	242	0
55	lg1	5.4e+07	5.5e+07	5.4e+07	5.4e+07	0.057	1	0
56	lg1	5.5e+07	5.6e+07	5.5e+07	5.5e+07	0.159	6	0
57	lg1	5.6e+07	5.7e+07	5.6e+07	5.6e+07	0	0	0
58	lg1	5.7e+07	5.8e+07	5.7e+07	5.7e+07	0	0	0
59	lg1	5.8e+07	5.9e+07	5.8e+07	5.8e+07	0	0	0
60	lg1	5.9e+07	6e+07	5.9e+07	5.9e+07	0	0	0
61	lg2	0	1e+06	6e+07	6e+07	0.053	1	0
62	lg2	1e+06	2e+06	6.1e+07	6.1e+07	0.152	6	2
63	lg2	2e+06	3e+06	6.2e+07	6.2e+07	0.278	5	2
64	lg2	3e+06	4e+06	6.3e+07	6.3e+07	0.153	36	0
65	lg2	4e+06	5e+06	6.4e+07	6.4e+07	0.116	7	0
66	lg2	5e+06	6e+06	6.5e+07	6.5e+07	0.088	0	0
67	lg2	6e+06	7e+06	6.6e+07	6.6e+07	0.291	6	1
68	lg2	7e+06	8e+06	6.7e+07	6.7e+07	0.049	1	0
69	lg2	8e+06	9e+06	6.8e+07	6.8e+07	0.142	4	0
70	lg2	9e+06	1e+07	6.9e+07	6.9e+07	0.092	3	0
71	lg2	1e+07	1.1e+07	7e+07	7e+07	0.258	4	0
72	lg2	1.1e+07	1.2e+07	7.1e+07	7.1e+07	0.27	26	0
73	lg2	1.2e+07	1.3e+07	7.2e+07	7.2e+07	0.224	2	0
74	lg2	1.3e+07	1.4e+07	7.3e+07	7.3e+07	0.054	2	1
75	lg2	1.4e+07	1.5e+07	7.4e+07	7.4e+07	0.542	35	0
76	lg2	1.5e+07	1.6e+07	7.5e+07	7.5e+07	0.759	446	0
77	lg2	1.6e+07	1.7e+07	7.6e+07	7.6e+07	0.812	18	0
78	lg2	1.7e+07	1.8e+07	7.7e+07	7.7e+07	0.799	775	4
79	lg2	1.8e+07	1.9e+07	7.8e+07	7.8e+07	0.644	28	0
80	lg2	1.9e+07	2e+07	7.9e+07	7.9e+07	0.867	74	0
81	lg2	2e+07	2.1e+07	8e+07	8e+07	0.695	1453	2
82	lg2	2.1e+07	2.2e+07	8.1e+07	8.1e+07	0.85	33	2
83	lg2	2.2e+07	2.3e+07	8.2e+07	8.2e+07	0.947	22	1
84	lg2	2.3e+07	2.4e+07	8.3e+07	8.3e+07	0.713	13	1
85	lg2	2.4e+07	2.5e+07	8.4e+07	8.4e+07	0.73	10	3
86	lg2	2.5e+07	2.6e+07	8.5e+07	8.5e+07	0.631	1088	1
87	lg2	2.6e+07	2.7e+07	8.6e+07	8.6e+07	0.73	81	2
88	lg2	2.7e+07	2.8e+07	8.7e+07	8.7e+07	0.968	37	1
89	lg2	2.8e+07	2.9e+07	8.8e+07	8.8e+07	0.962	26	1
90	lg2	2.9e+07	3e+07	8.9e+07	8.9e+07	0.986	32	0
91	lg2	3e+07	3.1e+07	9e+07	9e+07	0.706	305	0
92	lg2	3.1e+07	3.2e+07	9.1e+07	9.1e+07	0.524	472	3
93	lg2	3.2e+07	3.3e+07	9.2e+07	9.2e+07	0.249	101	1
94	lg2	3.3e+07	3.4e+07	9.3e+07	9.3e+07	0.357	7	0
95	lg2	3.4e+07	3.5e+07	9.4e+07	9.4e+07	0	0	0
96	lg2	3.5e+07	3.6e+07	9.5e+07	9.5e+07	0.147	13	0
97	lg2	3.6e+07	3.7e+07	9.6e+07	9.6e+07	0.478	9	1
98	lg2	3.7e+07	3.8e+07	9.7e+07	9.7e+07	0.093	4	1
99	lg2	3.8e+07	3.9e+07	9.8e+07	9.8e+07	0.32	5	1
100	lg2	3.9e+07	4e+07	9.9e+07	9.9e+07	0.411	6	2
101	lg2	4e+07	4.1e+07	1e+08	1e+08	0.651	11	1
102	lg2	4.1e+07	4.2e+07	1.01e+08	1.01e+08	0.345	20	1
103	lg2	4.2e+07	4.3e+07	1.02e+08	1.02e+08	0.237	224	2
104	lg2	4.3e+07	4.4e+07	1.03e+08	1.03e+08	0.29	10	3
105	lg2	4.4e+07	4.5e+07	1.04e+08	1.04e+08	0	2	0
106	lg2	4.5e+07	4.6e+07	1.05e+08	1.05e+08	0	0	0
107	lg2	4.6e+07	4.7e+07	1.06e+08	1.06e+08	0	0	0
108	lg2	4.7e+07	4.8e+07	1.07e+08	1.07e+08	0	0	0
109	lg3	0	1e+06	1.08e+08	1.08e+08	0.241	13	1
110	lg3	1e+06	2e+06	1.09e+08	1.09e+08	0.096	5	0
111	lg3	2e+06	3e+06	1.1e+08	1.1e+08	0.149	72	0
112	lg3	3e+06	4e+06	1.11e+08	1.11e+08	0.05	4	0
113	lg3	4e+06	5e+06	1.12e+08	1.12e+08	0.047	0	0
114	lg3	5e+06	6e+06	1.13e+08	1.13e+08	0	0	0
115	lg3	6e+06	7e+06	1.14e+08	1.14e+08	0.298	17	0
116	lg3	7e+06	8e+06	1.15e+08	1.15e+08	0.376	72	0
117	lg3	8e+06	9e+06	1.16e+08	1.16e+08	0.104	13	0
118	lg3	9e+06	1e+07	1.17e+08	1.17e+08	0.248	22	1
119	lg3	1e+07	1.1e+07	1.18e+08	1.18e+08	0.556	14	0
120	lg3	1.1e+07	1.2e+07	1.19e+08	1.19e+08	0.969	14	0
121	lg3	1.2e+07	1.3e+07	1.2e+08	1.2e+08	0.85	16	0
122	lg3	1.3e+07	1.4e+07	1.21e+08	1.21e+08	0.735	25	1
123	lg3	1.4e+07	1.5e+07	1.22e+08	1.22e+08	0.84	17	0
124	lg3	1.5e+07	1.6e+07	1.23e+08	1.23e+08	0.801	334	5
125	lg3	1.6e+07	1.7e+07	1.24e+08	1.24e+08	0.427	11	3
126	lg3	1.7e+07	1.8e+07	1.25e+08	1.25e+08	0.64	9	1
127	lg3	1.8e+07	1.9e+07	1.26e+08	1.26e+08	0.447	958	0
128	lg3	1.9e+07	2e+07	1.27e+08	1.27e+08	0.804	2134	0
129	lg3	2e+07	2.1e+07	1.28e+08	1.28e+08	0.583	2266	0
130	lg3	2.1e+07	2.2e+07	1.29e+08	1.29e+08	0.713	15	0
131	lg3	2.2e+07	2.3e+07	1.3e+08	1.3e+08	0.835	12	1
132	lg3	2.3e+07	2.4e+07	1.31e+08	1.31e+08	0.863	12	1
133	lg3	2.4e+07	2.5e+07	1.32e+08	1.32e+08	0.666	9	1
134	lg3	2.5e+07	2.6e+07	1.33e+08	1.33e+08	0.91	22	4
135	lg3	2.6e+07	2.7e+07	1.34e+08	1.34e+08	0.729	15	1
136	lg3	2.7e+07	2.8e+07	1.35e+08	1.35e+08	0.794	16	0
137	lg3	2.8e+07	2.9e+07	1.36e+08	1.36e+08	0.985	19	0
138	lg3	2.9e+07	3e+07	1.37e+08	1.37e+08	0.994	23	1
139	lg3	3e+07	3.1e+07	1.38e+08	1.38e+08	0.845	25	1
140	lg3	3.1e+07	3.2e+07	1.39e+08	1.39e+08	0.818	31	0
141	lg3	3.2e+07	3.3e+07	1.4e+08	1.4e+08	0.913	1014	1
142	lg3	3.3e+07	3.4e+07	1.41e+08	1.41e+08	0.74	1885	0
143	lg3	3.4e+07	3.5e+07	1.42e+08	1.42e+08	0.749	32	1
144	lg3	3.5e+07	3.6e+07	1.43e+08	1.43e+08	0.929	24	0
145	lg3	3.6e+07	3.7e+07	1.44e+08	1.44e+08	0.857	35	0
146	lg3	3.7e+07	3.8e+07	1.45e+08	1.45e+08	0.931	973	2
147	lg3	3.8e+07	3.9e+07	1.46e+08	1.46e+08	0.851	4100	0
148	lg3	3.9e+07	4e+07	1.47e+08	1.47e+08	0.862	1730	2
149	lg3	4e+07	4.1e+07	1.48e+08	1.48e+08	0.921	838	0
150	lg3	4.1e+07	4.2e+07	1.49e+08	1.49e+08	0.752	1304	0
151	lg3	4.2e+07	4.3e+07	1.5e+08	1.5e+08	0.845	954	1
152	lg3	4.3e+07	4.4e+07	1.51e+08	1.51e+08	0.249	150	0
153	lg3	4.4e+07	4.5e+07	1.52e+08	1.52e+08	0.741	25	1
154	lg3	4.5e+07	4.6e+07	1.53e+08	1.53e+08	0.733	866	4
155	lg3	4.6e+07	4.7e+07	1.54e+08	1.54e+08	0.803	35	2
156	lg3	4.7e+07	4.8e+07	1.55e+08	1.55e+08	0.772	39	2
157	lg3	4.8e+07	4.9e+07	1.56e+08	1.56e+08	0.762	49	3
158	lg3	4.9e+07	5e+07	1.57e+08	1.57e+08	0.46	286	1
159	lg3	5e+07	5.1e+07	1.58e+08	1.58e+08	0.76	82	1
160	lg3	5.1e+07	5.2e+07	1.59e+08	1.59e+08	0.726	21	3
161	lg3	5.2e+07	5.3e+07	1.6e+08	1.6e+08	0.593	18	3
162	lg3	5.3e+07	5.4e+07	1.61e+08	1.61e+08	0.63	30	1
163	lg3	5.4e+07	5.5e+07	1.62e+08	1.62e+08	0.53	18	2
164	lg3	5.5e+07	5.6e+07	1.63e+08	1.63e+08	0.385	8	1
165	lg3	5.6e+07	5.7e+07	1.64e+08	1.64e+08	0.376	8	0
166	lg3	5.7e+07	5.8e+07	1.65e+08	1.65e+08	0.23	8	0
167	lg3	5.8e+07	5.9e+07	1.66e+08	1.66e+08	0.086	0	0
168	lg3	5.9e+07	6e+07	1.67e+08	1.67e+08	0.562	25	0
169	lg3	6e+07	6.1e+07	1.68e+08	1.68e+08	0.901	41	2
170	lg3	6.1e+07	6.2e+07	1.69e+08	1.69e+08	0.474	39	1
171	lg3	6.2e+07	6.3e+07	1.7e+08	1.7e+08	0.687	1406	1
172	lg3	6.3e+07	6.4e+07	1.71e+08	1.71e+08	0.806	358	1
173	lg3	6.4e+07	6.5e+07	1.72e+08	1.72e+08	0.536	548	0
174	lg3	6.5e+07	6.6e+07	1.73e+08	1.73e+08	0.598	218	0
175	lg3	6.6e+07	6.7e+07	1.74e+08	1.74e+08	0.731	17	0
176	lg3	6.7e+07	6.8e+07	1.75e+08	1.75e+08	0.833	17	0
177	lg3	6.8e+07	6.9e+07	1.76e+08	1.76e+08	0.606	10	1
178	lg3	6.9e+07	7e+07	1.77e+08	1.77e+08	0.658	8	2
179	lg3	7e+07	7.1e+07	1.78e+08	1.78e+08	0.415	9	0
180	lg3	7.1e+07	7.2e+07	1.79e+08	1.79e+08	0.178	1	0
181	lg3	7.2e+07	7.3e+07	1.8e+08	1.8e+08	0.581	13	1
182	lg3	7.3e+07	7.4e+07	1.81e+08	1.81e+08	0.444	14	0
183	lg3	7.4e+07	7.5e+07	1.82e+08	1.82e+08	0.549	23	0
184	lg3	7.5e+07	7.6e+07	1.83e+08	1.83e+08	0.445	17	0
185	lg3	7.6e+07	7.7e+07	1.84e+08	1.84e+08	0.584	2220	0
186	lg3	7.7e+07	7.8e+07	1.85e+08	1.85e+08	0.659	1713	0
187	lg3	7.8e+07	7.9e+07	1.86e+08	1.86e+08	1	1487	1
188	lg3	7.9e+07	8e+07	1.87e+08	1.87e+08	0.48	271	3
189	lg3	8e+07	8.1e+07	1.88e+08	1.88e+08	0.452	40	0
190	lg3	8.1e+07	8.2e+07	1.89e+08	1.89e+08	0.418	231	1
191	lg3	8.2e+07	8.3e+07	1.9e+08	1.9e+08	0.309	18	1
192	lg3	8.3e+07	8.4e+07	1.91e+08	1.91e+08	0.567	30	3
193	lg3	8.4e+07	8.5e+07	1.92e+08	1.92e+08	0.658	26	0
194	lg3	8.5e+07	8.6e+07	1.93e+08	1.93e+08	0.676	39	1
195	lg3	8.6e+07	8.7e+07	1.94e+08	1.94e+08	0.599	28	3
196	lg3	8.7e+07	8.8e+07	1.95e+08	1.95e+08	0.788	39	0
197	lg3	8.8e+07	8.9e+07	1.96e+08	1.96e+08	0.865	29	0
198	lg3	8.9e+07	9e+07	1.97e+08	1.97e+08	0.782	41	2
199	lg3	9e+07	9.1e+07	1.98e+08	1.98e+08	0.73	87	0
200	lg3	9.1e+07	9.2e+07	1.99e+08	1.99e+08	0.874	334	0
201	lg3	9.2e+07	9.3e+07	2e+08	2e+08	0.911	1934	1
202	lg3	9.3e+07	9.4e+07	2.01e+08	2.01e+08	0.771	395	0
203	lg3	9.4e+07	9.5e+07	2.02e+08	2.02e+08	0.674	1316	1
204	lg3	9.5e+07	9.6e+07	2.03e+08	2.03e+08	0.809	356	2
205	lg3	9.6e+07	9.7e+07	2.04e+08	2.04e+08	0.371	377	1
206	lg3	9.7e+07	9.8e+07	2.05e+08	2.05e+08	0.842	89	1
207	lg3	9.8e+07	9.9e+07	2.06e+08	2.06e+08	0.978	316	0
208	lg3	9.9e+07	1e+08	2.07e+08	2.07e+08	0.776	42	1
209	lg3	1e+08	1.01e+08	2.08e+08	2.08e+08	0.696	25	0
210	lg3	1.01e+08	1.02e+08	2.09e+08	2.09e+08	0.782	133	2
211	lg3	1.02e+08	1.03e+08	2.1e+08	2.1e+08	0.687	1385	0
212	lg3	1.03e+08	1.04e+08	2.11e+08	2.11e+08	0.449	628	3
213	lg3	1.04e+08	1.05e+08	2.12e+08	2.12e+08	0	0	0
214	lg3	1.05e+08	1.06e+08	2.13e+08	2.13e+08	0.577	1435	1
215	lg3	1.06e+08	1.07e+08	2.14e+08	2.14e+08	0.775	28	0
216	lg3	1.07e+08	1.08e+08	2.15e+08	2.15e+08	0.576	25	1
217	lg3	1.08e+08	1.09e+08	2.16e+08	2.16e+08	0.119	2	0
218	lg3	1.09e+08	1.1e+08	2.17e+08	2.17e+08	0.457	1705	1
219	lg3	1.1e+08	1.11e+08	2.18e+08	2.18e+08	0.771	24	0
220	lg3	1.11e+08	1.12e+08	2.19e+08	2.19e+08	0.857	437	1
221	lg3	1.12e+08	1.13e+08	2.2e+08	2.2e+08	0.878	478	1
222	lg3	1.13e+08	1.14e+08	2.21e+08	2.21e+08	0.872	38	0
223	lg3	1.14e+08	1.15e+08	2.22e+08	2.22e+08	0.43	14	0
224	lg3	1.15e+08	1.16e+08	2.23e+08	2.23e+08	0.768	27	2
225	lg3	1.16e+08	1.17e+08	2.24e+08	2.24e+08	0.637	21	0
226	lg3	1.17e+08	1.18e+08	2.25e+08	2.25e+08	0.939	12	0
227	lg3	1.18e+08	1.19e+08	2.26e+08	2.26e+08	0.575	22	0
228	lg3	1.19e+08	1.2e+08	2.27e+08	2.27e+08	0.807	31	1
229	lg3	1.2e+08	1.21e+08	2.28e+08	2.28e+08	0.417	4	1
230	lg3	1.21e+08	1.22e+08	2.29e+08	2.29e+08	0.469	19	1
231	lg3	1.22e+08	1.23e+08	2.3e+08	2.3e+08	0.425	16	0
232	lg3	1.23e+08	1.24e+08	2.31e+08	2.31e+08	0.72	26	0
233	lg3	1.24e+08	1.25e+08	2.32e+08	2.32e+08	0.436	20	1
234	lg3	1.25e+08	1.26e+08	2.33e+08	2.33e+08	0.445	22	1
235	lg3	1.26e+08	1.27e+08	2.34e+08	2.34e+08	0.546	23	0
236	lg3	1.27e+08	1.28e+08	2.35e+08	2.35e+08	0	14	0
237	lg3	1.28e+08	1.29e+08	2.36e+08	2.36e+08	0	0	0
238	lg3	1.29e+08	1.3e+08	2.37e+08	2.37e+08	0	0	0
239	lg3	1.3e+08	1.31e+08	2.38e+08	2.38e+08	0	0	0
240	lg3	1.31e+08	1.32e+08	2.39e+08	2.39e+08	0	0	0
241	lg4	0	1e+06	2.4e+08	2.4e+08	0.229	7	2
242	lg4	1e+06	2e+06	2.41e+08	2.41e+08	0.621	18	2
243	lg4	2e+06	3e+06	2.42e+08	2.42e+08	0.616	22	1
244	lg4	3e+06	4e+06	2.43e+08	2.43e+08	0.444	13	2
245	lg4	4e+06	5e+06	2.44e+08	2.44e+08	0.81	448	1
246	lg4	5e+06	6e+06	2.45e+08	2.45e+08	0.281	490	0
247	lg4	6e+06	7e+06	2.46e+08	2.46e+08	0.369	238	0
248	lg4	7e+06	8e+06	2.47e+08	2.47e+08	0.037	0	0
249	lg4	8e+06	9e+06	2.48e+08	2.48e+08	0.189	10	2
250	lg4	9e+06	1e+07	2.49e+08	2.49e+08	0.205	3	0
251	lg4	1e+07	1.1e+07	2.5e+08	2.5e+08	0.067	3	0
