lg	lg_from	lg_to	genome_from	genome_to	uniq_mapped	SNPs	SVs
1	lg1	0	1e+06	0	0	0.222	2595	10
2	lg1	1e+06	2e+06	1e+06	1e+06	0.011	171	0
3	lg1	2e+06	3e+06	2e+06	2e+06	0.075	518	4
4	lg1	3e+06	4e+06	3e+06	3e+06	0.16	1456	6
5	lg1	4e+06	5e+06	4e+06	4e+06	0.538	3133	21
6	lg1	5e+06	6e+06	5e+06	5e+06	0.299	631	12
7	lg1	6e+06	7e+06	6e+06	6e+06	0.44	2061	18
8	lg1	7e+06	8e+06	7e+06	7e+06	0.394	4602	24
9	lg1	8e+06	9e+06	8e+06	8e+06	0.388	6699	31
10	lg1	9e+06	1e+07	9e+06	9e+06	0.688	12019	33
11	lg1	1e+07	1.1e+07	1e+07	1e+07	0.08	1624	4
12	lg1	1.1e+07	1.2e+07	1.1e+07	1.1e+07	0.436	4494	19
13	lg1	1.2e+07	1.3e+07	1.2e+07	1.2e+07	0.129	1305	10
14	lg1	1.3e+07	1.4e+07	1.3e+07	1.3e+07	0.73	11968	48
15	lg1	1.4e+07	1.5e+07	1.4e+07	1.4e+07	0.371	5367	21
16	lg1	1.5e+07	1.6e+07	1.5e+07	1.5e+07	0.119	1048	10
17	lg1	1.6e+07	1.7e+07	1.6e+07	1.6e+07	0.393	3446	19
18	lg1	1.7e+07	1.8e+07	1.7e+07	1.7e+07	0.03	294	2
19	lg1	1.8e+07	1.9e+07	1.8e+07	1.8e+07	0.417	5253	18
20	lg1	1.9e+07	2e+07	1.9e+07	1.9e+07	0.63	6216	29
21	lg1	2e+07	2.1e+07	2e+07	2e+07	0.517	6800	41
22	lg1	2.1e+07	2.2e+07	2.1e+07	2.1e+07	0.061	475	3
23	lg1	2.2e+07	2.3e+07	2.2e+07	2.2e+07	0.61	5751	38
24	lg1	2.3e+07	2.4e+07	2.3e+07	2.3e+07	0	0	0
25	lg1	2.4e+07	2.5e+07	2.4e+07	2.4e+07	0.333	2997	17
26	lg1	2.5e+07	2.6e+07	2.5e+07	2.5e+07	0.39	5519	22
27	lg1	2.6e+07	2.7e+07	2.6e+07	2.6e+07	0	0	0
28	lg1	2.7e+07	2.8e+07	2.7e+07	2.7e+07	0.7	12190	60
29	lg1	2.8e+07	2.9e+07	2.8e+07	2.8e+07	0.698	9678	61
30	lg1	2.9e+07	3e+07	2.9e+07	2.9e+07	0.062	923	4
31	lg1	3e+07	3.1e+07	3e+07	3e+07	0.514	7132	39
32	lg1	3.1e+07	3.2e+07	3.1e+07	3.1e+07	0.08	610	3
33	lg1	3.2e+07	3.3e+07	3.2e+07	3.2e+07	0.392	5580	29
34	lg1	3.3e+07	3.4e+07	3.3e+07	3.3e+07	0.342	3207	12
35	lg1	3.4e+07	3.5e+07	3.4e+07	3.4e+07	0.37	5768	47
36	lg1	3.5e+07	3.6e+07	3.5e+07	3.5e+07	0.727	10444	59
37	lg1	3.6e+07	3.7e+07	3.6e+07	3.6e+07	0.8	11674	58
38	lg1	3.7e+07	3.8e+07	3.7e+07	3.7e+07	0.718	14659	66
39	lg1	3.8e+07	3.9e+07	3.8e+07	3.8e+07	0.703	15725	50
40	lg1	3.9e+07	4e+07	3.9e+07	3.9e+07	0.87	12090	46
41	lg1	4e+07	4.1e+07	4e+07	4e+07	0.667	8744	54
42	lg1	4.1e+07	4.2e+07	4.1e+07	4.1e+07	0.773	11822	44
43	lg1	4.2e+07	4.3e+07	4.2e+07	4.2e+07	0.198	3426	15
44	lg1	4.3e+07	4.4e+07	4.3e+07	4.3e+07	0.648	12929	48
45	lg1	4.4e+07	4.5e+07	4.4e+07	4.4e+07	0.268	3504	28
46	lg1	4.5e+07	4.6e+07	4.5e+07	4.5e+07	0.602	9000	43
47	lg1	4.6e+07	4.7e+07	4.6e+07	4.6e+07	0.344	4913	40
48	lg1	4.7e+07	4.8e+07	4.7e+07	4.7e+07	0.594	7651	56
49	lg1	4.8e+07	4.9e+07	4.8e+07	4.8e+07	0.533	5668	41
50	lg1	4.9e+07	5e+07	4.9e+07	4.9e+07	0.763	11976	77
