lg	lg_from	lg_to	genome_from	genome_to	uniq_mapped	SNPs	SVs
1	lg1	0	1e+06	0	0	0.074	6	0
2	lg1	1e+06	2e+06	1e+06	1e+06	0.05	10	0
3	lg1	2e+06	3e+06	2e+06	2e+06	0.113	53	0
4	lg1	3e+06	4e+06	3e+06	3e+06	0.515	327	1
5	lg1	4e+06	5e+06	4e+06	4e+06	0.348	49	0
6	lg1	5e+06	6e+06	5e+06	5e+06	0.298	63	0
7	lg1	6e+06	7e+06	6e+06	6e+06	0.085	5	1
8	lg1	7e+06	8e+06	7e+06	7e+06	0.652	158	4
9	lg1	8e+06	9e+06	8e+06	8e+06	0.477	717	4
10	lg1	9e+06	1e+07	9e+06	9e+06	0.769	1895	13
11	lg1	1e+07	1.1e+07	1e+07	1e+07	0.396	2102	13
12	lg1	1.1e+07	1.2e+07	1.1e+07	1.1e+07	0	0	0
13	lg1	1.2e+07	1.3e+07	1.2e+07	1.2e+07	0.165	34	2
14	lg1	1.3e+07	1.4e+07	1.3e+07	1.3e+07	0.59	1195	7
15	lg1	1.4e+07	1.5e+07	1.4e+07	1.4e+07	0.324	760	5
16	lg1	1.5e+07	1.6e+07	1.5e+07	1.5e+07	0.062	14	0
17	lg1	1.6e+07	1.7e+07	1.6e+07	1.6e+07	0.583	521	4
18	lg1	1.7e+07	1.8e+07	1.7e+07	1.7e+07	0.21	252	2
19	lg1	1.8e+07	1.9e+07	1.8e+07	1.8e+07	0.489	146	3
20	lg1	1.9e+07	2e+07	1.9e+07	1.9e+07	0.8	1265	11
21	lg1	2e+07	2.1e+07	2e+07	2e+07	0.302	296	2
22	lg1	2.1e+07	2.2e+07	2.1e+07	2.1e+07	0.159	13	2
23	lg1	2.2e+07	2.3e+07	2.2e+07	2.2e+07	0.669	605	8
24	lg1	2.3e+07	2.4e+07	2.3e+07	2.3e+07	0.178	314	4
25	lg1	2.4e+07	2.5e+07	2.4e+07	2.4e+07	0.533	154	3
26	lg1	2.5e+07	2.6e+07	2.5e+07	2.5e+07	0.258	10	0
27	lg1	2.6e+07	2.7e+07	2.6e+07	2.6e+07	0.052	231	1
28	lg1	2.7e+07	2.8e+07	2.7e+07	2.7e+07	0.796	34	1
29	lg1	2.8e+07	2.9e+07	2.8e+07	2.8e+07	0.832	1731	9
30	lg1	2.9e+07	3e+07	2.9e+07	2.9e+07	0.495	1660	7
31	lg1	3e+07	3.1e+07	3e+07	3e+07	0.572	378	2
32	lg1	3.1e+07	3.2e+07	3.1e+07	3.1e+07	0.499	336	7
33	lg1	3.2e+07	3.3e+07	3.2e+07	3.2e+07	0.597	9	0
34	lg1	3.3e+07	3.4e+07	3.3e+07	3.3e+07	0.281	32	1
35	lg1	3.4e+07	3.5e+07	3.4e+07	3.4e+07	0.736	117	1
36	lg1	3.5e+07	3.6e+07	3.5e+07	3.5e+07	0.951	1720	23
37	lg1	3.6e+07	3.7e+07	3.6e+07	3.6e+07	0.951	900	1
38	lg1	3.7e+07	3.8e+07	3.7e+07	3.7e+07	0.625	1087	7
39	lg1	3.8e+07	3.9e+07	3.8e+07	3.8e+07	0.821	4164	15
40	lg1	3.9e+07	4e+07	3.9e+07	3.9e+07	0.863	2437	17
41	lg1	4e+07	4.1e+07	4e+07	4e+07	0.742	1987	10
42	lg1	4.1e+07	4.2e+07	4.1e+07	4.1e+07	0.814	2905	19
43	lg1	4.2e+07	4.3e+07	4.2e+07	4.2e+07	0.433	496	1
44	lg1	4.3e+07	4.4e+07	4.3e+07	4.3e+07	0.927	3138	13
45	lg1	4.4e+07	4.5e+07	4.4e+07	4.4e+07	0.194	69	3
46	lg1	4.5e+07	4.6e+07	4.5e+07	4.5e+07	0.415	14	0
47	lg1	4.6e+07	4.7e+07	4.6e+07	4.6e+07	0.302	12	1
48	lg1	4.7e+07	4.8e+07	4.7e+07	4.7e+07	0.555	10	0
49	lg1	4.8e+07	4.9e+07	4.8e+07	4.8e+07	0.843	18	2
50	lg1	4.9e+07	5e+07	4.9e+07	4.9e+07	0.971	36	2
51	lg1	5e+07	5.1e+07	5e+07	5e+07	0.644	20	3
52	lg1	5.1e+07	5.2e+07	5.1e+07	5.1e+07	0.688	1652	14
53	lg1	5.2e+07	5.3e+07	5.2e+07	5.2e+07	0.439	9	3
54	lg1	5.3e+07	5.4e+07	5.3e+07	5.3e+07	0.379	14	5
55	lg1	5.4e+07	5.5e+07	5.4e+07	5.4e+07	0.704	275	5
56	lg1	5.5e+07	5.6e+07	5.5e+07	5.5e+07	0.414	701	5
57	lg1	5.6e+07	5.7e+07	5.6e+07	5.6e+07	0	14	2
58	lg1	5.7e+07	5.8e+07	5.7e+07	5.7e+07	0	0	0
59	lg1	5.8e+07	5.9e+07	5.8e+07	5.8e+07	0	0	0
60	lg1	5.9e+07	6e+07	5.9e+07	5.9e+07	0	0	0
61	lg2	0	1e+06	6e+07	6e+07	0.06	1	0
62	lg2	1e+06	2e+06	6.1e+07	6.1e+07	0.06	3	0
63	lg2	2e+06	3e+06	6.2e+07	6.2e+07	0.356	11	0
64	lg2	3e+06	4e+06	6.3e+07	6.3e+07	0.27	9	0
65	lg2	4e+06	5e+06	6.4e+07	6.4e+07	0.25	4	0
66	lg2	5e+06	6e+06	6.5e+07	6.5e+07	0.125	11	0
67	lg2	6e+06	7e+06	6.6e+07	6.6e+07	0.227	6	1
68	lg2	7e+06	8e+06	6.7e+07	6.7e+07	0.088	3	0
69	lg2	8e+06	9e+06	6.8e+07	6.8e+07	0.142	3	0
70	lg2	9e+06	1e+07	6.9e+07	6.9e+07	0.479	11	0
71	lg2	1e+07	1.1e+07	7e+07	7e+07	0.192	11	0
72	lg2	1.1e+07	1.2e+07	7.1e+07	7.1e+07	0.11	5	0
73	lg2	1.2e+07	1.3e+07	7.2e+07	7.2e+07	0.202	7	1
74	lg2	1.3e+07	1.4e+07	7.3e+07	7.3e+07	0	0	0
75	lg2	1.4e+07	1.5e+07	7.4e+07	7.4e+07	0.475	645	0
76	lg2	1.5e+07	1.6e+07	7.5e+07	7.5e+07	0.889	1650	14
77	lg2	1.6e+07	1.7e+07	7.6e+07	7.6e+07	0.883	1762	8
78	lg2	1.7e+07	1.8e+07	7.7e+07	7.7e+07	0.856	689	5
79	lg2	1.8e+07	1.9e+07	7.8e+07	7.8e+07	0.833	1588	8
80	lg2	1.9e+07	2e+07	7.9e+07	7.9e+07	0.937	22	4
81	lg2	2e+07	2.1e+07	8e+07	8e+07	0.991	19	1
82	lg2	2.1e+07	2.2e+07	8.1e+07	8.1e+07	0.849	12	2
83	lg2	2.2e+07	2.3e+07	8.2e+07	8.2e+07	0.61	21	2
84	lg2	2.3e+07	2.4e+07	8.3e+07	8.3e+07	0.995	1019	9
85	lg2	2.4e+07	2.5e+07	8.4e+07	8.4e+07	0.991	3189	25
86	lg2	2.5e+07	2.6e+07	8.5e+07	8.5e+07	0.979	2345	23
87	lg2	2.6e+07	2.7e+07	8.6e+07	8.6e+07	0.893	3445	31
88	lg2	2.7e+07	2.8e+07	8.7e+07	8.7e+07	0.524	456	3
89	lg2	2.8e+07	2.9e+07	8.8e+07	8.8e+07	0.984	2503	10
90	lg2	2.9e+07	3e+07	8.9e+07	8.9e+07	0.999	1565	7
91	lg2	3e+07	3.1e+07	9e+07	9e+07	0.767	914	7
92	lg2	3.1e+07	3.2e+07	9.1e+07	9.1e+07	0.921	2409	11
93	lg2	3.2e+07	3.3e+07	9.2e+07	9.2e+07	0.802	835	12
94	lg2	3.3e+07	3.4e+07	9.3e+07	9.3e+07	0.724	607	4
95	lg2	3.4e+07	3.5e+07	9.4e+07	9.4e+07	0.502	687	10
96	lg2	3.5e+07	3.6e+07	9.5e+07	9.5e+07	0.373	1179	6
97	lg2	3.6e+07	3.7e+07	9.6e+07	9.6e+07	0.274	115	3
98	lg2	3.7e+07	3.8e+07	9.7e+07	9.7e+07	0.298	1329	10
99	lg2	3.8e+07	3.9e+07	9.8e+07	9.8e+07	0.651	1018	12
100	lg2	3.9e+07	4e+07	9.9e+07	9.9e+07	0.325	765	4
101	lg2	4e+07	4.1e+07	1e+08	1e+08	0.708	1372	15
102	lg2	4.1e+07	4.2e+07	1.01e+08	1.01e+08	0.499	72	4
103	lg2	4.2e+07	4.3e+07	1.02e+08	1.02e+08	0.905	1830	26
104	lg2	4.3e+07	4.4e+07	1.03e+08	1.03e+08	0.359	557	16
105	lg2	4.4e+07	4.5e+07	1.04e+08	1.04e+08	0	37	1
106	lg2	4.5e+07	4.6e+07	1.05e+08	1.05e+08	0	0	0
107	lg2	4.6e+07	4.7e+07	1.06e+08	1.06e+08	0	0	0
108	lg2	4.7e+07	4.8e+07	1.07e+08	1.07e+08	0	0	0
109	lg3	0	1e+06	1.08e+08	1.08e+08	0.349	1098	5
110	lg3	1e+06	2e+06	1.09e+08	1.09e+08	0.368	166	1
111	lg3	2e+06	3e+06	1.1e+08	1.1e+08	0.685	26	5
112	lg3	3e+06	4e+06	1.11e+08	1.11e+08	0.323	11	2
113	lg3	4e+06	5e+06	1.12e+08	1.12e+08	0.439	10	1
114	lg3	5e+06	6e+06	1.13e+08	1.13e+08	0.321	9	2
115	lg3	6e+06	7e+06	1.14e+08	1.14e+08	0.471	23	2
116	lg3	7e+06	8e+06	1.15e+08	1.15e+08	0.554	21	1
117	lg3	8e+06	9e+06	1.16e+08	1.16e+08	0.816	23	2
118	lg3	9e+06	1e+07	1.17e+08	1.17e+08	0.562	31	0
119	lg3	1e+07	1.1e+07	1.18e+08	1.18e+08	0.729	1108	7
120	lg3	1.1e+07	1.2e+07	1.19e+08	1.19e+08	0.986	147	5
121	lg3	1.2e+07	1.3e+07	1.2e+08	1.2e+08	0.939	31	2
122	lg3	1.3e+07	1.4e+07	1.21e+08	1.21e+08	0.893	27	3
123	lg3	1.4e+07	1.5e+07	1.22e+08	1.22e+08	0.906	66	1
124	lg3	1.5e+07	1.6e+07	1.23e+08	1.23e+08	0.892	2302	16
125	lg3	1.6e+07	1.7e+07	1.24e+08	1.24e+08	0.738	1238	13
126	lg3	1.7e+07	1.8e+07	1.25e+08	1.25e+08	0.909	701	3
127	lg3	1.8e+07	1.9e+07	1.26e+08	1.26e+08	0.992	32	1
128	lg3	1.9e+07	2e+07	1.27e+08	1.27e+08	1	35	0
129	lg3	2e+07	2.1e+07	1.28e+08	1.28e+08	0.863	34	2
130	lg3	2.1e+07	2.2e+07	1.29e+08	1.29e+08	0.709	25	1
131	lg3	2.2e+07	2.3e+07	1.3e+08	1.3e+08	0.998	40	2
132	lg3	2.3e+07	2.4e+07	1.31e+08	1.31e+08	0.973	33	1
133	lg3	2.4e+07	2.5e+07	1.32e+08	1.32e+08	0.982	23	5
134	lg3	2.5e+07	2.6e+07	1.33e+08	1.33e+08	0.995	32	2
135	lg3	2.6e+07	2.7e+07	1.34e+08	1.34e+08	0.985	27	6
136	lg3	2.7e+07	2.8e+07	1.35e+08	1.35e+08	0.996	31	1
137	lg3	2.8e+07	2.9e+07	1.36e+08	1.36e+08	0.994	31	1
138	lg3	2.9e+07	3e+07	1.37e+08	1.37e+08	0.929	29	1
139	lg3	3e+07	3.1e+07	1.38e+08	1.38e+08	0.919	18	0
140	lg3	3.1e+07	3.2e+07	1.39e+08	1.39e+08	0.987	27	2
141	lg3	3.2e+07	3.3e+07	1.4e+08	1.4e+08	0.984	28	1
142	lg3	3.3e+07	3.4e+07	1.41e+08	1.41e+08	0.56	48	2
143	lg3	3.4e+07	3.5e+07	1.42e+08	1.42e+08	0.998	3488	19
144	lg3	3.5e+07	3.6e+07	1.43e+08	1.43e+08	0.75	445	9
145	lg3	3.6e+07	3.7e+07	1.44e+08	1.44e+08	0.993	1600	8
146	lg3	3.7e+07	3.8e+07	1.45e+08	1.45e+08	0.746	1482	7
147	lg3	3.8e+07	3.9e+07	1.46e+08	1.46e+08	0.879	4011	24
148	lg3	3.9e+07	4e+07	1.47e+08	1.47e+08	0.78	674	6
149	lg3	4e+07	4.1e+07	1.48e+08	1.48e+08	0.993	33	2
150	lg3	4.1e+07	4.2e+07	1.49e+08	1.49e+08	0.992	28	3
151	lg3	4.2e+07	4.3e+07	1.5e+08	1.5e+08	0.808	20	1
152	lg3	4.3e+07	4.4e+07	1.51e+08	1.51e+08	0.756	19	0
153	lg3	4.4e+07	4.5e+07	1.52e+08	1.52e+08	0.981	38	4
154	lg3	4.5e+07	4.6e+07	1.53e+08	1.53e+08	0.842	19	1
155	lg3	4.6e+07	4.7e+07	1.54e+08	1.54e+08	0.592	209	1
156	lg3	4.7e+07	4.8e+07	1.55e+08	1.55e+08	0.904	2742	15
157	lg3	4.8e+07	4.9e+07	1.56e+08	1.56e+08	0.756	1326	5
158	lg3	4.9e+07	5e+07	1.57e+08	1.57e+08	0.942	1803	14
159	lg3	5e+07	5.1e+07	1.58e+08	1.58e+08	0.972	56	4
160	lg3	5.1e+07	5.2e+07	1.59e+08	1.59e+08	0.909	35	1
161	lg3	5.2e+07	5.3e+07	1.6e+08	1.6e+08	0.854	29	3
162	lg3	5.3e+07	5.4e+07	1.61e+08	1.61e+08	0.867	460	4
