lg	lg_from	lg_to	genome_from	genome_to	uniq_mapped	SNPs	SVs
1	lg1	0	1e+06	0	0	0.411	2588	14
2	lg1	1e+06	2e+06	1e+06	1e+06	0.367	2916	29
3	lg1	2e+06	3e+06	2e+06	2e+06	0.51	2400	29
4	lg1	3e+06	4e+06	3e+06	3e+06	0.367	1854	18
5	lg1	4e+06	5e+06	4e+06	4e+06	0.278	1523	13
6	lg1	5e+06	6e+06	5e+06	5e+06	0.554	1067	12
7	lg1	6e+06	7e+06	6e+06	6e+06	0.398	2165	12
8	lg1	7e+06	8e+06	7e+06	7e+06	0.419	2004	15
9	lg1	8e+06	9e+06	8e+06	8e+06	0.087	357	2
10	lg1	9e+06	1e+07	9e+06	9e+06	0.199	1581	6
11	lg1	1e+07	1.1e+07	1e+07	1e+07	0	0	1
12	lg1	1.1e+07	1.2e+07	1.1e+07	1.1e+07	0.248	714	7
13	lg1	1.2e+07	1.3e+07	1.2e+07	1.2e+07	0.553	2248	13
14	lg1	1.3e+07	1.4e+07	1.3e+07	1.3e+07	0.284	1985	18
15	lg1	1.4e+07	1.5e+07	1.4e+07	1.4e+07	0.023	150	0
16	lg1	1.5e+07	1.6e+07	1.5e+07	1.5e+07	0.155	364	5
17	lg1	1.6e+07	1.7e+07	1.6e+07	1.6e+07	0.291	590	9
18	lg1	1.7e+07	1.8e+07	1.7e+07	1.7e+07	0.155	508	5
19	lg1	1.8e+07	1.9e+07	1.8e+07	1.8e+07	0.519	1580	9
20	lg1	1.9e+07	2e+07	1.9e+07	1.9e+07	0.224	884	15
21	lg1	2e+07	2.1e+07	2e+07	2e+07	0.339	2150	18
22	lg1	2.1e+07	2.2e+07	2.1e+07	2.1e+07	0.405	2548	19
23	lg1	2.2e+07	2.3e+07	2.2e+07	2.2e+07	0.463	2066	21
24	lg1	2.3e+07	2.4e+07	2.3e+07	2.3e+07	0.136	980	7
25	lg1	2.4e+07	2.5e+07	2.4e+07	2.4e+07	0.417	1678	22
26	lg1	2.5e+07	2.6e+07	2.5e+07	2.5e+07	0.235	2077	9
27	lg1	2.6e+07	2.7e+07	2.6e+07	2.6e+07	0.078	586	1
28	lg1	2.7e+07	2.8e+07	2.7e+07	2.7e+07	0.119	536	4
29	lg1	2.8e+07	2.9e+07	2.8e+07	2.8e+07	0.372	1201	18
30	lg1	2.9e+07	3e+07	2.9e+07	2.9e+07	0	0	0
31	lg1	3e+07	3.1e+07	3e+07	3e+07	0.113	284	5
32	lg1	3.1e+07	3.2e+07	3.1e+07	3.1e+07	0.12	220	6
33	lg1	3.2e+07	3.3e+07	3.2e+07	3.2e+07	0.161	534	6
34	lg1	3.3e+07	3.4e+07	3.3e+07	3.3e+07	0.147	479	4
35	lg1	3.4e+07	3.5e+07	3.4e+07	3.4e+07	0.23	712	6
36	lg1	3.5e+07	3.6e+07	3.5e+07	3.5e+07	0.373	2054	24
37	lg1	3.6e+07	3.7e+07	3.6e+07	3.6e+07	0.741	3447	33
38	lg1	3.7e+07	3.8e+07	3.7e+07	3.7e+07	0.417	3166	25
39	lg1	3.8e+07	3.9e+07	3.8e+07	3.8e+07	0.577	6076	41
40	lg1	3.9e+07	4e+07	3.9e+07	3.9e+07	0.438	2111	28
41	lg1	4e+07	4.1e+07	4e+07	4e+07	0.049	746	6
42	lg1	4.1e+07	4.2e+07	4.1e+07	4.1e+07	0.411	2416	16
43	lg1	4.2e+07	4.3e+07	4.2e+07	4.2e+07	0.238	1422	15
44	lg1	4.3e+07	4.4e+07	4.3e+07	4.3e+07	0.167	1331	13
45	lg1	4.4e+07	4.5e+07	4.4e+07	4.4e+07	0.268	1395	15
46	lg1	4.5e+07	4.6e+07	4.5e+07	4.5e+07	0.057	435	4
47	lg1	4.6e+07	4.7e+07	4.6e+07	4.6e+07	0.139	940	5
48	lg1	4.7e+07	4.8e+07	4.7e+07	4.7e+07	0.34	2067	18
49	lg1	4.8e+07	4.9e+07	4.8e+07	4.8e+07	0.214	1336	9
50	lg1	4.9e+07	5e+07	4.9e+07	4.9e+07	0.276	1395	9
51	lg1	5e+07	5.1e+07	5e+07	5e+07	0.05	153	0
52	lg1	5.1e+07	5.2e+07	5.1e+07	5.1e+07	0.693	1782	18
53	lg1	5.2e+07	5.3e+07	5.2e+07	5.2e+07	0.441	1535	22
54	lg1	5.3e+07	5.4e+07	5.3e+07	5.3e+07	0.379	1620	17
55	lg1	5.4e+07	5.5e+07	5.4e+07	5.4e+07	0.337	1672	11
56	lg1	5.5e+07	5.6e+07	5.5e+07	5.5e+07	0.25	1826	12
57	lg1	5.6e+07	5.7e+07	5.6e+07	5.6e+07	0	501	5
58	lg1	5.7e+07	5.8e+07	5.7e+07	5.7e+07	0	0	0
59	lg1	5.8e+07	5.9e+07	5.8e+07	5.8e+07	0	0	0
60	lg1	5.9e+07	6e+07	5.9e+07	5.9e+07	0	0	0
61	lg2	0	1e+06	6e+07	6e+07	0.013	77	0
62	lg2	1e+06	2e+06	6.1e+07	6.1e+07	0.092	253	4
63	lg2	2e+06	3e+06	6.2e+07	6.2e+07	0.081	352	2
64	lg2	3e+06	4e+06	6.3e+07	6.3e+07	0.374	2253	22
65	lg2	4e+06	5e+06	6.4e+07	6.4e+07	0.078	209	2
66	lg2	5e+06	6e+06	6.5e+07	6.5e+07	0.051	338	6
67	lg2	6e+06	7e+06	6.6e+07	6.6e+07	0.202	642	6
68	lg2	7e+06	8e+06	6.7e+07	6.7e+07	0.059	127	2
69	lg2	8e+06	9e+06	6.8e+07	6.8e+07	0	0	0
70	lg2	9e+06	1e+07	6.9e+07	6.9e+07	0.33	2861	12
71	lg2	1e+07	1.1e+07	7e+07	7e+07	0.211	1406	11
72	lg2	1.1e+07	1.2e+07	7.1e+07	7.1e+07	0.093	308	3
