lg	lg_from	lg_to	genome_from	genome_to	uniq_mapped	SNPs	SVs
1	lg1	0	1e+06	0	0	0.479	10	1
2	lg1	1e+06	2e+06	1e+06	1e+06	0.093	5	1
3	lg1	2e+06	3e+06	2e+06	2e+06	0.153	4	0
4	lg1	3e+06	4e+06	3e+06	3e+06	0.327	11	0
5	lg1	4e+06	5e+06	4e+06	4e+06	0.232	859	5
6	lg1	5e+06	6e+06	5e+06	5e+06	0.383	27	0
7	lg1	6e+06	7e+06	6e+06	6e+06	0.68	31	0
8	lg1	7e+06	8e+06	7e+06	7e+06	0.515	23	0
9	lg1	8e+06	9e+06	8e+06	8e+06	0.271	5	0
10	lg1	9e+06	1e+07	9e+06	9e+06	0.077	5	0
11	lg1	1e+07	1.1e+07	1e+07	1e+07	0	0	0
12	lg1	1.1e+07	1.2e+07	1.1e+07	1.1e+07	0.178	7	2
13	lg1	1.2e+07	1.3e+07	1.2e+07	1.2e+07	0.829	24	1
14	lg1	1.3e+07	1.4e+07	1.3e+07	1.3e+07	0.306	11	2
15	lg1	1.4e+07	1.5e+07	1.4e+07	1.4e+07	0	0	0
16	lg1	1.5e+07	1.6e+07	1.5e+07	1.5e+07	0.312	11	0
17	lg1	1.6e+07	1.7e+07	1.6e+07	1.6e+07	0.235	6	0
18	lg1	1.7e+07	1.8e+07	1.7e+07	1.7e+07	0.175	12	0
19	lg1	1.8e+07	1.9e+07	1.8e+07	1.8e+07	0.448	15	0
20	lg1	1.9e+07	2e+07	1.9e+07	1.9e+07	0.335	14	2
21	lg1	2e+07	2.1e+07	2e+07	2e+07	0.345	14	2
22	lg1	2.1e+07	2.2e+07	2.1e+07	2.1e+07	0.378	20	2
23	lg1	2.2e+07	2.3e+07	2.2e+07	2.2e+07	0.175	5	0
24	lg1	2.3e+07	2.4e+07	2.3e+07	2.3e+07	0.27	18	0
25	lg1	2.4e+07	2.5e+07	2.4e+07	2.4e+07	0.346	12	0
26	lg1	2.5e+07	2.6e+07	2.5e+07	2.5e+07	0.217	11	0
27	lg1	2.6e+07	2.7e+07	2.6e+07	2.6e+07	0.304	13	1
28	lg1	2.7e+07	2.8e+07	2.7e+07	2.7e+07	0.117	8	0
29	lg1	2.8e+07	2.9e+07	2.8e+07	2.8e+07	0.263	7	1
30	lg1	2.9e+07	3e+07	2.9e+07	2.9e+07	0.037	1	1
31	lg1	3e+07	3.1e+07	3e+07	3e+07	0	0	0
32	lg1	3.1e+07	3.2e+07	3.1e+07	3.1e+07	0.115	14	1
33	lg1	3.2e+07	3.3e+07	3.2e+07	3.2e+07	0.116	1	0
34	lg1	3.3e+07	3.4e+07	3.3e+07	3.3e+07	0.173	5	1
35	lg1	3.4e+07	3.5e+07	3.4e+07	3.4e+07	0.438	27	0
36	lg1	3.5e+07	3.6e+07	3.5e+07	3.5e+07	0.651	31	0
37	lg1	3.6e+07	3.7e+07	3.6e+07	3.6e+07	0.638	35	0
38	lg1	3.7e+07	3.8e+07	3.7e+07	3.7e+07	0.38	19	1
39	lg1	3.8e+07	3.9e+07	3.8e+07	3.8e+07	0.513	16	1
40	lg1	3.9e+07	4e+07	3.9e+07	3.9e+07	0.478	21	0
41	lg1	4e+07	4.1e+07	4e+07	4e+07	0.458	32	0
42	lg1	4.1e+07	4.2e+07	4.1e+07	4.1e+07	0.253	10	2
43	lg1	4.2e+07	4.3e+07	4.2e+07	4.2e+07	0.406	16	2
44	lg1	4.3e+07	4.4e+07	4.3e+07	4.3e+07	0.071	2	1
45	lg1	4.4e+07	4.5e+07	4.4e+07	4.4e+07	0.127	6	0
46	lg1	4.5e+07	4.6e+07	4.5e+07	4.5e+07	0.132	11	1
47	lg1	4.6e+07	4.7e+07	4.6e+07	4.6e+07	0.296	13	0
48	lg1	4.7e+07	4.8e+07	4.7e+07	4.7e+07	0.615	24	2
49	lg1	4.8e+07	4.9e+07	4.8e+07	4.8e+07	0.345	23	0
50	lg1	4.9e+07	5e+07	4.9e+07	4.9e+07	0.553	24	1
51	lg1	5e+07	5.1e+07	5e+07	5e+07	0.503	17	0
52	lg1	5.1e+07	5.2e+07	5.1e+07	5.1e+07	0.591	29	0
53	lg1	5.2e+07	5.3e+07	5.2e+07	5.2e+07	0.147	5	0
54	lg1	5.3e+07	5.4e+07	5.3e+07	5.3e+07	0.279	17	2
55	lg1	5.4e+07	5.5e+07	5.4e+07	5.4e+07	0.242	11	2
56	lg1	5.5e+07	5.6e+07	5.5e+07	5.5e+07	0.184	5	0
57	lg1	5.6e+07	5.7e+07	5.6e+07	5.6e+07	0	3	0
58	lg1	5.7e+07	5.8e+07	5.7e+07	5.7e+07	0	0	0
59	lg1	5.8e+07	5.9e+07	5.8e+07	5.8e+07	0	0	0
60	lg1	5.9e+07	6e+07	5.9e+07	5.9e+07	0	0	0
61	lg2	0	1e+06	6e+07	6e+07	0.085	1	0
62	lg2	1e+06	2e+06	6.1e+07	6.1e+07	0.096	3	0
63	lg2	2e+06	3e+06	6.2e+07	6.2e+07	0.156	22	0
64	lg2	3e+06	4e+06	6.3e+07	6.3e+07	0.269	17	1
65	lg2	4e+06	5e+06	6.4e+07	6.4e+07	0.059	4	0
66	lg2	5e+06	6e+06	6.5e+07	6.5e+07	0.018	0	0
67	lg2	6e+06	7e+06	6.6e+07	6.6e+07	0.147	8	0
68	lg2	7e+06	8e+06	6.7e+07	6.7e+07	0.127	4	0
69	lg2	8e+06	9e+06	6.8e+07	6.8e+07	0	0	0
70	lg2	9e+06	1e+07	6.9e+07	6.9e+07	0.284	76	0
71	lg2	1e+07	1.1e+07	7e+07	7e+07	0.036	24	0
72	lg2	1.1e+07	1.2e+07	7.1e+07	7.1e+07	0.297	14	0
73	lg2	1.2e+07	1.3e+07	7.2e+07	7.2e+07	0.302	15	0
74	lg2	1.3e+07	1.4e+07	7.3e+07	7.3e+07	0.12	46	0
75	lg2	1.4e+07	1.5e+07	7.4e+07	7.4e+07	0.507	74	3
76	lg2	1.5e+07	1.6e+07	7.5e+07	7.5e+07	0.705	1084	11
77	lg2	1.6e+07	1.7e+07	7.6e+07	7.6e+07	0.838	700	7
78	lg2	1.7e+07	1.8e+07	7.7e+07	7.7e+07	0.526	124	1
