lg	lg_from	lg_to	genome_from	genome_to	uniq_mapped	SNPs	SVs
1	lg1	0	1e+06	0	0	0.137	4	1
2	lg1	1e+06	2e+06	1e+06	1e+06	0.275	1	1
3	lg1	2e+06	3e+06	2e+06	2e+06	0.248	6	0
4	lg1	3e+06	4e+06	3e+06	3e+06	0.283	1	0
5	lg1	4e+06	5e+06	4e+06	4e+06	0.281	2	0
6	lg1	5e+06	6e+06	5e+06	5e+06	0.738	6	0
7	lg1	6e+06	7e+06	6e+06	6e+06	0.281	3	0
8	lg1	7e+06	8e+06	7e+06	7e+06	0.408	13	0
9	lg1	8e+06	9e+06	8e+06	8e+06	0.538	7	1
10	lg1	9e+06	1e+07	9e+06	9e+06	0	0	0
11	lg1	1e+07	1.1e+07	1e+07	1e+07	0.036	0	0
12	lg1	1.1e+07	1.2e+07	1.1e+07	1.1e+07	0.352	5	1
13	lg1	1.2e+07	1.3e+07	1.2e+07	1.2e+07	0.48	4	0
14	lg1	1.3e+07	1.4e+07	1.3e+07	1.3e+07	0.556	8	1
15	lg1	1.4e+07	1.5e+07	1.4e+07	1.4e+07	0.033	1	0
16	lg1	1.5e+07	1.6e+07	1.5e+07	1.5e+07	0.19	0	1
17	lg1	1.6e+07	1.7e+07	1.6e+07	1.6e+07	0.32	4	0
18	lg1	1.7e+07	1.8e+07	1.7e+07	1.7e+07	0.242	5	0
19	lg1	1.8e+07	1.9e+07	1.8e+07	1.8e+07	0.333	6	0
20	lg1	1.9e+07	2e+07	1.9e+07	1.9e+07	0.471	3	0
21	lg1	2e+07	2.1e+07	2e+07	2e+07	0.502	9	0
22	lg1	2.1e+07	2.2e+07	2.1e+07	2.1e+07	0.334	3	0
23	lg1	2.2e+07	2.3e+07	2.2e+07	2.2e+07	0.4	5	1
24	lg1	2.3e+07	2.4e+07	2.3e+07	2.3e+07	0.419	8	0
25	lg1	2.4e+07	2.5e+07	2.4e+07	2.4e+07	0.283	3	0
26	lg1	2.5e+07	2.6e+07	2.5e+07	2.5e+07	0.243	2	0
27	lg1	2.6e+07	2.7e+07	2.6e+07	2.6e+07	0.031	0	0
28	lg1	2.7e+07	2.8e+07	2.7e+07	2.7e+07	0.314	1	1
29	lg1	2.8e+07	2.9e+07	2.8e+07	2.8e+07	0.625	1	0
