lg	lg_from	lg_to	genome_from	genome_to	uniq_mapped	SNPs	SVs
1	lg1	0	1e+06	0	0	0.037	579	4
2	lg1	1e+06	2e+06	1e+06	1e+06	0.076	1361	2
3	lg1	2e+06	3e+06	2e+06	2e+06	0	0	0
4	lg1	3e+06	4e+06	3e+06	3e+06	0.165	3011	19
5	lg1	4e+06	5e+06	4e+06	4e+06	0.046	1225	8
6	lg1	5e+06	6e+06	5e+06	5e+06	0	0	0
7	lg1	6e+06	7e+06	6e+06	6e+06	0.012	316	0
8	lg1	7e+06	8e+06	7e+06	7e+06	0	0	0
9	lg1	8e+06	9e+06	8e+06	8e+06	0.057	1995	8
10	lg1	9e+06	1e+07	9e+06	9e+06	0.033	974	6
11	lg1	1e+07	1.1e+07	1e+07	1e+07	0	0	0
12	lg1	1.1e+07	1.2e+07	1.1e+07	1.1e+07	0	0	0
13	lg1	1.2e+07	1.3e+07	1.2e+07	1.2e+07	0	0	0
14	lg1	1.3e+07	1.4e+07	1.3e+07	1.3e+07	0.014	853	2
15	lg1	1.4e+07	1.5e+07	1.4e+07	1.4e+07	0.098	3482	10
16	lg1	1.5e+07	1.6e+07	1.5e+07	1.5e+07	0	0	0
17	lg1	1.6e+07	1.7e+07	1.6e+07	1.6e+07	0.05	1229	3
18	lg1	1.7e+07	1.8e+07	1.7e+07	1.7e+07	0	0	0
19	lg1	1.8e+07	1.9e+07	1.8e+07	1.8e+07	0.117	2261	8
20	lg1	1.9e+07	2e+07	1.9e+07	1.9e+07	0.006	184	2
21	lg1	2e+07	2.1e+07	2e+07	2e+07	0	0	0
22	lg1	2.1e+07	2.2e+07	2.1e+07	2.1e+07	0.011	0	2
23	lg1	2.2e+07	2.3e+07	2.2e+07	2.2e+07	0.022	632	1
24	lg1	2.3e+07	2.4e+07	2.3e+07	2.3e+07	0.087	2259	14
25	lg1	2.4e+07	2.5e+07	2.4e+07	2.4e+07	0.075	1409	9
26	lg1	2.5e+07	2.6e+07	2.5e+07	2.5e+07	0.031	637	2
27	lg1	2.6e+07	2.7e+07	2.6e+07	2.6e+07	0.013	0	6
