Type	Kimura	Genome_percent
SINE	0	0.0511785833333
LINE/R2	0	0.00093825
LINE/Jockey-I	0	0.02274475
LINE/R1	0	0.00381483333333
LINE/LOA	0	0.00161666666667
LINE/L2	0	0.000431666666667
LINE/CR1	0	0.00904358333333
LINE/RTE	0	0.00397691666667
LINE	0	0.00568708333333
LINE/L1	0	0
LTR	0	0.0137399166667
LTR/Gypsy	0	0.0298796666667
LTR/Copia	0	0.027344
RC/Helitron	0	0.0374584166667
DNA/Transib	0	2.01666666667e-05
DNA/TcMar	0	0.01337325
DNA/Sola	0	0.0032365
DNA/PiggyBac	0	0.002502
DNA/P	0	0.000282833333333
DNA	0	0.06898275
DNA/Maverick	0	0.00425508333333
DNA/Kolobok	0	0.000173666666667
DNA/hAT	0	0.08296425
DNA/Harbinger	0	0.00140433333333
DNA/Ginger	0	0
DNA/Academ	0	0.003704
Other	0	0.00127216666667
SINE	1	0.151202583333
LINE/R2	1	0.000855333333333
LINE/Jockey-I	1	0.0215603333333
LINE/R1	1	0.00911883333333
LINE/LOA	1	0.00251491666667
LINE/L2	1	0.00126566666667
LINE/CR1	1	0.00751116666667
LINE/RTE	1	0.0108164166667
LINE	1	0.01097
LINE/L1	1	0
LTR	1	0.0209075833333
LTR/Gypsy	1	0.060764
LTR/Copia	1	0.0435405833333
RC/Helitron	1	0.01868425
DNA/Transib	1	3.10833333333e-05
DNA/TcMar	1	0.0228366666667
DNA/Sola	1	0.00370658333333
DNA/PiggyBac	1	0.00309091666667
DNA/P	1	0.00154183333333
DNA	1	0.0678895833333
DNA/Maverick	1	0.0159176666667
DNA/Kolobok	1	0.0016845
DNA/hAT	1	0.170026833333
DNA/Harbinger	1	0.00354616666667
DNA/Ginger	1	0
DNA/Academ	1	0.00982791666667
Other	1	0.00245591666667
SINE	2	0.257154416667
LINE/R2	2	0.00176575
LINE/Jockey-I	2	0.033561
LINE/R1	2	0.011849
LINE/LOA	2	0.000751416666667
LINE/L2	2	0.00125883333333
LINE/CR1	2	0.0081925
LINE/RTE	2	0.0155999166667
LINE	2	0.0109341666667
LINE/L1	2	0
LTR	2	0.0243058333333
LTR/Gypsy	2	0.128161416667
LTR/Copia	2	0.0350291666667
RC/Helitron	2	0.0222268333333
DNA/Transib	2	0.000153166666667
DNA/TcMar	2	0.0346259166667
DNA/Sola	2	0.00781725
DNA/PiggyBac	2	0.00271041666667
DNA/P	2	0.002533
DNA	2	0.0568715833333
DNA/Maverick	2	0.029705
DNA/Kolobok	2	0.00183308333333
DNA/hAT	2	0.3018185
DNA/Harbinger	2	0.001511
DNA/Ginger	2	0
DNA/Academ	2	0.00726341666667
Other	2	0.00564866666667
SINE	3	0.265621083333
LINE/R2	3	0.00188166666667
LINE/Jockey-I	3	0.0404686666667
LINE/R1	3	0.01623325
LINE/LOA	3	0.000132333333333
LINE/L2	3	0.00327025
LINE/CR1	3	0.0114454166667
LINE/RTE	3	0.0114401666667
LINE	3	0.0124475833333
LINE/L1	3	0
LTR	3	0.0243599166667
LTR/Gypsy	3	0.21292075
LTR/Copia	3	0.0317525
RC/Helitron	3	0.0286951666667
DNA/Transib	3	0.000138416666667
DNA/TcMar	3	0.037931
DNA/Sola	3	0.00773375
DNA/PiggyBac	3	0.002443
DNA/P	3	0.00229633333333
DNA	3	0.0476269166667
DNA/Maverick	3	0.0389746666667
DNA/Kolobok	3	0.00125833333333
DNA/hAT	3	0.37519925
DNA/Harbinger	3	0.00118075
DNA/Ginger	3	0
DNA/Academ	3	0.00726591666667
Other	3	0.005219
SINE	4	0.195880666667
LINE/R2	4	0.00217191666667
LINE/Jockey-I	4	0.0388039166667
LINE/R1	4	0.0147898333333
LINE/LOA	4	0
LINE/L2	4	0.00418083333333
LINE/CR1	4	0.0136663333333
LINE/RTE	4	0.0123328333333
LINE	4	0.0113594166667
LINE/L1	4	0
LTR	4	0.0192186666667
LTR/Gypsy	4	0.232246416667
LTR/Copia	4	0.0355946666667
RC/Helitron	4	0.0309828333333
DNA/Transib	4	0.000457083333333
DNA/TcMar	4	0.0266916666667
DNA/Sola	4	0.00678458333333
DNA/PiggyBac	4	0.00205933333333
DNA/P	4	0.001324
DNA	4	0.0394583333333
DNA/Maverick	4	0.0476973333333
DNA/Kolobok	4	0.000908833333333
DNA/hAT	4	0.375822416667
DNA/Harbinger	4	0.00173783333333
DNA/Ginger	4	3.78333333333e-05
DNA/Academ	4	0.0060665
Other	4	0.005466
SINE	5	0.129933833333
LINE/R2	5	0.0051805
LINE/Jockey-I	5	0.0374973333333
LINE/R1	5	0.0203004166667
LINE/LOA	5	3.14166666667e-05
LINE/L2	5	0.00682991666667
LINE/CR1	5	0.0267280833333
LINE/RTE	5	0.0222071666667
LINE	5	0.0127863333333
LINE/L1	5	0
LTR	5	0.0168633333333
LTR/Gypsy	5	0.207121
LTR/Copia	5	0.0244700833333
RC/Helitron	5	0.0303716666667
DNA/Transib	5	0.000157833333333
DNA/TcMar	5	0.0293935
DNA/Sola	5	0.00398533333333
DNA/PiggyBac	5	0.00145858333333
DNA/P	5	0.000601
DNA	5	0.039564
DNA/Maverick	5	0.0658368333333
DNA/Kolobok	5	0.00079175
DNA/hAT	5	0.34838675
DNA/Harbinger	5	0.00275308333333
DNA/Ginger	5	1.80833333333e-05
DNA/Academ	5	0.00412883333333
Other	5	0.0051105
SINE	6	0.0948023333333
LINE/R2	6	0.00871758333333
LINE/Jockey-I	6	0.0422498333333
LINE/R1	6	0.01054425
LINE/LOA	6	5.25e-06
LINE/L2	6	0.00705908333333
LINE/CR1	6	0.0279975833333
LINE/RTE	6	0.02142025
LINE	6	0.0106725833333
LINE/L1	6	0
LTR	6	0.0163779166667
LTR/Gypsy	6	0.164912916667
LTR/Copia	6	0.0215395833333
RC/Helitron	6	0.0227685
DNA/Transib	6	0.000101666666667
DNA/TcMar	6	0.0373669166667
DNA/Sola	6	0.0047045
DNA/PiggyBac	6	0.00122891666667
DNA/P	6	0.00024175
DNA	6	0.0480910833333
DNA/Maverick	6	0.0831539166667
DNA/Kolobok	6	0.000652833333333
DNA/hAT	6	0.2904375
DNA/Harbinger	6	0.00355508333333
DNA/Ginger	6	0
DNA/Academ	6	0.00728158333333
Other	6	0.00865625
SINE	7	0.0708755833333
LINE/R2	7	0.0178483333333
LINE/Jockey-I	7	0.0446715833333
LINE/R1	7	0.00774383333333
LINE/LOA	7	0
LINE/L2	7	0.00740041666667
LINE/CR1	7	0.02734925
