Type	Kimura	Genome_percent
SINE	0	0.00547216666667
LINE/R2	0	7.78333333333e-05
LINE/Jockey-I	0	0.009536
LINE/R1	0	0.00188033333333
LINE/LOA	0	0.00121041666667
LINE/L2	0	0.0008165
LINE/CR1	0	0.00563725
LINE/RTE	0	0.00293933333333
LINE	0	0.0058215
LINE/L1	0	0
LTR	0	0.008787
LTR/Gypsy	0	0.0182914166667
LTR/Copia	0	0.0193115833333
RC/Helitron	0	0.0193381666667
DNA/Transib	0	1.35833333333e-05
DNA/TcMar	0	0.0174704166667
DNA/Sola	0	0.00148583333333
DNA/PiggyBac	0	0.00117166666667
DNA/P	0	3.61666666667e-05
DNA	0	0.0435166666667
DNA/Maverick	0	0.01203
DNA/Kolobok	0	0.000286083333333
DNA/hAT	0	0.109991333333
DNA/Harbinger	0	0.00139808333333
DNA/Ginger	0	0
DNA/Academ	0	0.00152516666667
Other	0	0.0012595
SINE	1	0.00620516666667
LINE/R2	1	0.00015375
LINE/Jockey-I	1	0.0175066666667
LINE/R1	1	0.004559
LINE/LOA	1	0.0017925
LINE/L2	1	0.00197225
LINE/CR1	1	0.00473683333333
LINE/RTE	1	0.00740791666667
LINE	1	0.00566875
LINE/L1	1	0
LTR	1	0.0150133333333
LTR/Gypsy	1	0.0440315
LTR/Copia	1	0.0271630833333
RC/Helitron	1	0.00939625
DNA/Transib	1	7.80833333333e-05
DNA/TcMar	1	0.0414005833333
DNA/Sola	1	0.00132683333333
DNA/PiggyBac	1	0.00203541666667
DNA/P	1	0.000507083333333
DNA	1	0.0392548333333
DNA/Maverick	1	0.0263779166667
DNA/Kolobok	1	0.00159725
DNA/hAT	1	0.289954166667
DNA/Harbinger	1	0.00419291666667
DNA/Ginger	1	0
DNA/Academ	1	0.00347875
Other	1	0.00190266666667
SINE	2	0.00980133333333
LINE/R2	2	0.000335416666667
LINE/Jockey-I	2	0.0268060833333
LINE/R1	2	0.00917616666667
LINE/LOA	2	0.0009725
LINE/L2	2	0.00321266666667
LINE/CR1	2	0.0046725
LINE/RTE	2	0.009071
LINE	2	0.0080385
LINE/L1	2	0
LTR	2	0.0159813333333
LTR/Gypsy	2	0.099008
LTR/Copia	2	0.0333118333333
RC/Helitron	2	0.0166909166667
DNA/Transib	2	0.000219833333333
DNA/TcMar	2	0.0618169166667
DNA/Sola	2	0.002244
DNA/PiggyBac	2	0.00228025
DNA/P	2	0.00165416666667
DNA	2	0.0396489166667
DNA/Maverick	2	0.0516855
DNA/Kolobok	2	0.00198158333333
DNA/hAT	2	0.471373333333
DNA/Harbinger	2	0.00698741666667
DNA/Ginger	2	0
DNA/Academ	2	0.005333
Other	2	0.002731
SINE	3	0.0107775833333
LINE/R2	3	0.000971583333333
LINE/Jockey-I	3	0.0349220833333
LINE/R1	3	0.01071325
LINE/LOA	3	0.000178416666667
LINE/L2	3	0.00519758333333
LINE/CR1	3	0.00601591666667
LINE/RTE	3	0.01094175
LINE	3	0.008825
LINE/L1	3	0
LTR	3	0.0163951666667
LTR/Gypsy	3	0.163985916667
LTR/Copia	3	0.0364110833333
RC/Helitron	3	0.0205540833333
DNA/Transib	3	0.00060925
DNA/TcMar	3	0.0681914166667
DNA/Sola	3	0.002575
DNA/PiggyBac	3	0.00196833333333
DNA/P	3	0.001975
DNA	3	0.0451394166667
DNA/Maverick	3	0.0897595
DNA/Kolobok	3	0.00143583333333
DNA/hAT	3	0.523969333333
DNA/Harbinger	3	0.00634183333333
DNA/Ginger	3	0
DNA/Academ	3	0.006782
Other	3	0.00288291666667
SINE	4	0.01152025
LINE/R2	4	0.00218558333333
LINE/Jockey-I	4	0.03942375
LINE/R1	4	0.0125524166667
LINE/LOA	4	0
LINE/L2	4	0.00841666666667
LINE/CR1	4	0.00568866666667
LINE/RTE	4	0.0186495
LINE	4	0.011111
LINE/L1	4	0
LTR	4	0.0146215833333
LTR/Gypsy	4	0.219492833333
LTR/Copia	4	0.0261714166667
RC/Helitron	4	0.0268483333333
DNA/Transib	4	0.000414833333333
DNA/TcMar	4	0.0629125
DNA/Sola	4	0.00360216666667
DNA/PiggyBac	4	0.00260983333333
DNA/P	4	0.00215841666667
DNA	4	0.04601125
DNA/Maverick	4	0.129634666667
DNA/Kolobok	4	0.00067975
DNA/hAT	4	0.468429916667
DNA/Harbinger	4	0.0071515
DNA/Ginger	4	0
DNA/Academ	4	0.00884333333333
Other	4	0.005529
SINE	5	0.00895891666667
LINE/R2	5	0.00401883333333
LINE/Jockey-I	5	0.047299
LINE/R1	5	0.0131444166667
LINE/LOA	5	5.16666666667e-06
LINE/L2	5	0.00935908333333
LINE/CR1	5	0.0106913333333
LINE/RTE	5	0.0275388333333
LINE	5	0.01062625
LINE/L1	5	0
LTR	5	0.0128786666667
LTR/Gypsy	5	0.24255525
LTR/Copia	5	0.02167575
RC/Helitron	5	0.0318045
DNA/Transib	5	4.66666666667e-06
DNA/TcMar	5	0.0549475833333
DNA/Sola	5	0.00279466666667
DNA/PiggyBac	5	0.0033245
DNA/P	5	0.0008915
DNA	5	0.0642255
DNA/Maverick	5	0.156386166667
DNA/Kolobok	5	0.00124066666667
DNA/hAT	5	0.413399916667
DNA/Harbinger	5	0.00792225
DNA/Ginger	5	0
DNA/Academ	5	0.00844641666667
Other	5	0.00994258333333
SINE	6	0.00712433333333
LINE/R2	6	0.00612266666667
LINE/Jockey-I	6	0.0452805
LINE/R1	6	0.01176675
LINE/LOA	6	0
LINE/L2	6	0.00805608333333
LINE/CR1	6	0.0185801666667
LINE/RTE	6	0.03825
LINE	6	0.00909083333333
LINE/L1	6	0
LTR	6	0.009895
LTR/Gypsy	6	0.21041725
LTR/Copia	6	0.0208905
RC/Helitron	6	0.0230249166667
DNA/Transib	6	0.000105416666667
DNA/TcMar	6	0.0524123333333
DNA/Sola	6	0.00471866666667
DNA/PiggyBac	6	0.00268083333333
DNA/P	6	0.000286166666667
DNA	6	0.0837555
DNA/Maverick	6	0.167662166667
DNA/Kolobok	6	0.000771416666667
DNA/hAT	6	0.3584475
DNA/Harbinger	6	0.00920408333333
DNA/Ginger	6	0
DNA/Academ	6	0.0104768333333
Other	6	0.01372525
