Type	Kimura	Genome_percent
SINE	0	0.00331958333333
LINE/R2	0	7.78333333333e-05
LINE/Jockey-I	0	0.00712358333333
LINE/R1	0	0.00795533333333
LINE/LOA	0	0.00301275
LINE/L2	0	0.000177583333333
LINE/CR1	0	0.00076075
LINE/RTE	0	0.006214
LINE	0	0.0119308333333
LINE/L1	0	0
LTR	0	0.0106893333333
LTR/Gypsy	0	0.0254128333333
LTR/Copia	0	0.0757085
RC/Helitron	0	0.02437925
DNA/Transib	0	2.70833333333e-05
DNA/TcMar	0	0.0112695
DNA/Sola	0	0.00404033333333
DNA/PiggyBac	0	0.00194725
DNA/P	0	0.000154083333333
DNA	0	0.0582584166667
DNA/Maverick	0	0.00284983333333
DNA/Kolobok	0	0.000451916666667
DNA/hAT	0	0.12142075
DNA/Harbinger	0	0.00350683333333
DNA/Ginger	0	3.41666666667e-06
DNA/Academ	0	0.00755416666667
Other	0	0.0015275
SINE	1	0.00703058333333
LINE/R2	1	3.08333333333e-05
LINE/Jockey-I	1	0.0177995
LINE/R1	1	0.01110125
LINE/LOA	1	0.00226608333333
LINE/L2	1	0.000605666666667
LINE/CR1	1	0.00186308333333
LINE/RTE	1	0.0133545
LINE	1	0.0259915833333
LINE/L1	1	0
LTR	1	0.0104625833333
LTR/Gypsy	1	0.04681075
LTR/Copia	1	0.0387806666667
RC/Helitron	1	0.01995925
DNA/Transib	1	0.0001525
DNA/TcMar	1	0.0117610833333
DNA/Sola	1	0.00473158333333
DNA/PiggyBac	1	0.00492241666667
DNA/P	1	0.00057475
DNA	1	0.0765495
DNA/Maverick	1	0.0117453333333
DNA/Kolobok	1	0.0015005
DNA/hAT	1	0.314584416667
DNA/Harbinger	1	0.00508133333333
DNA/Ginger	1	5e-06
DNA/Academ	1	0.00689366666667
Other	1	0.00348533333333
SINE	2	0.0192506666667
LINE/R2	2	0.00023975
LINE/Jockey-I	2	0.0365185833333
LINE/R1	2	0.0146405
LINE/LOA	2	0.00106266666667
LINE/L2	2	0.0013485
LINE/CR1	2	0.0037245
LINE/RTE	2	0.0286153333333
LINE	2	0.03690475
LINE/L1	2	0
LTR	2	0.0137625
LTR/Gypsy	2	0.073189
LTR/Copia	2	0.0374401666667
RC/Helitron	2	0.0230524166667
DNA/Transib	2	0.000767583333333
DNA/TcMar	2	0.0219558333333
DNA/Sola	2	0.00638533333333
DNA/PiggyBac	2	0.00306641666667
DNA/P	2	0.00148566666667
DNA	2	0.06226
DNA/Maverick	2	0.0273756666667
DNA/Kolobok	2	0.00259341666667
DNA/hAT	2	0.49117875
DNA/Harbinger	2	0.00856483333333
DNA/Ginger	2	3.25e-06
DNA/Academ	2	0.00735383333333
Other	2	0.00388075
SINE	3	0.0272014166667
LINE/R2	3	0.000246916666667
LINE/Jockey-I	3	0.049168
LINE/R1	3	0.0107976666667
LINE/LOA	3	0.00032475
LINE/L2	3	0.00271716666667
LINE/CR1	3	0.00761566666667
LINE/RTE	3	0.0576463333333
LINE	3	0.0399324166667
LINE/L1	3	0
LTR	3	0.0125940833333
LTR/Gypsy	3	0.0964525
LTR/Copia	3	0.0339240833333
RC/Helitron	3	0.027955
DNA/Transib	3	0.00165308333333
DNA/TcMar	3	0.03216925
DNA/Sola	3	0.0107375833333
DNA/PiggyBac	3	0.00290016666667
DNA/P	3	0.00247916666667
DNA	3	0.0512718333333
DNA/Maverick	3	0.0397994166667
DNA/Kolobok	3	0.000866083333333
DNA/hAT	3	0.542798666667
DNA/Harbinger	3	0.00837925
DNA/Ginger	3	2.66666666667e-06
DNA/Academ	3	0.00978
Other	3	0.00657983333333
SINE	4	0.0304710833333
LINE/R2	4	0.0004445
LINE/Jockey-I	4	0.0627245833333
LINE/R1	4	0.00879816666667
LINE/LOA	4	0
LINE/L2	4	0.00492266666667
LINE/CR1	4	0.0134480833333
LINE/RTE	4	0.102444666667
LINE	4	0.03236925
LINE/L1	4	0
LTR	4	0.0117403333333
LTR/Gypsy	4	0.15346275
LTR/Copia	4	0.0296493333333
RC/Helitron	4	0.0332414166667
DNA/Transib	4	0.000995
DNA/TcMar	4	0.0340803333333
DNA/Sola	4	0.00733291666667
DNA/PiggyBac	4	0.00285883333333
DNA/P	4	0.002521
DNA	4	0.04395075
DNA/Maverick	4	0.0569105
DNA/Kolobok	4	0.00171275
DNA/hAT	4	0.491550666667
DNA/Harbinger	4	0.00834958333333
DNA/Ginger	4	0
DNA/Academ	4	0.01044175
Other	4	0.00989025
SINE	5	0.0221295833333
LINE/R2	5	0.00120508333333
LINE/Jockey-I	5	0.0668584166667
LINE/R1	5	0.01302475
LINE/LOA	5	3.05833333333e-05
LINE/L2	5	0.0100399166667
LINE/CR1	5	0.0195640833333
LINE/RTE	5	0.149953666667
LINE	5	0.0303465
LINE/L1	5	0
LTR	5	0.00985008333333
LTR/Gypsy	5	0.231213833333
LTR/Copia	5	0.0284795
RC/Helitron	5	0.032378
DNA/Transib	5	0.00057625
DNA/TcMar	5	0.0304289166667
DNA/Sola	5	0.00576825
DNA/PiggyBac	5	0.00353508333333
DNA/P	5	0.00216058333333
DNA	5	0.0585711666667
DNA/Maverick	5	0.0684625
DNA/Kolobok	5	0.00249041666667
DNA/hAT	5	0.42470475
DNA/Harbinger	5	0.00796975
DNA/Ginger	5	0.000108
DNA/Academ	5	0.010601
Other	5	0.0220626666667
SINE	6	0.0179100833333
LINE/R2	6	0.00221758333333
LINE/Jockey-I	6	0.06981275
LINE/R1	6	0.0135250833333
LINE/LOA	6	0
LINE/L2	6	0.00801591666667
LINE/CR1	6	0.02591525
LINE/RTE	6	0.16865975
LINE	6	0.027103
LINE/L1	6	0
LTR	6	0.008066
LTR/Gypsy	6	0.272923083333
LTR/Copia	6	0.0253578333333
RC/Helitron	6	0.0207056666667
DNA/Transib	6	0.00012775
DNA/TcMar	6	0.0347893333333
DNA/Sola	6	0.00596525
DNA/PiggyBac	6	0.00226716666667
DNA/P	6	0.00153258333333
DNA	6	0.0910384166667
DNA/Maverick	6	0.0803380833333
DNA/Kolobok	6	0.00132741666667
DNA/hAT	6	0.39649925
DNA/Harbinger	6	0.00821133333333
DNA/Ginger	6	0.000156166666667
DNA/Academ	6	0.0121033333333
Other	6	0.0326949166667
SINE	7	0.0159148333333
LINE/R2	7	0.00602883333333
LINE/Jockey-I	7	0.074119
LINE/R1	7	0.0139261666667
LINE/LOA	7	0
LINE/L2	7	0.00722783333333
LINE/CR1	7	0.033455
LINE/RTE	7	0.193606916667
LINE	7	0.0263530833333
LINE/L1	7	0
LTR	7	0.009783
LTR/Gypsy	7	0.24426625
LTR/Copia	7	0.0194911666667
RC/Helitron	7	0.0161674166667
DNA/Transib	7	9.65833333333e-05
DNA/TcMar	7	0.0422900833333
DNA/Sola	7	0.006632
DNA/PiggyBac	7	0.00309891666667
DNA/P	7	0.00058725
DNA	7	0.100024083333
DNA/Maverick	7	0.100626416667
DNA/Kolobok	7	0.00211233333333
DNA/hAT	7	0.357113666667
DNA/Harbinger	7	0.00829866666667
DNA/Ginger	7	0.000371833333333
DNA/Academ	7	0.0108135
Other	7	0.0345179166667
SINE	8	0.01919925
LINE/R2	8	0.01178075
LINE/Jockey-I	8	0.06817875
LINE/R1	8	0.0135815
LINE/LOA	8	1.09166666667e-05
LINE/L2	8	0.00750866666667
LINE/CR1	8	0.0276505833333
LINE/RTE	8	0.20883875
LINE	8	0.0258684166667
LINE/L1	8	0
LTR	8	0.00785591666667
LTR/Gypsy	8	0.1947575
LTR/Copia	8	0.0170869166667
RC/Helitron	8	0.0129195833333
DNA/Transib	8	0.000155666666667
DNA/TcMar	8	0.0451526666667
DNA/Sola	8	0.00562416666667
DNA/PiggyBac	8	0.00176733333333
DNA/P	8	0.000635083333333
DNA	8	0.0859219166667
DNA/Maverick	8	0.109668833333
DNA/Kolobok	8	0.00285041666667
DNA/hAT	8	0.314005916667
DNA/Harbinger	8	0.00775125
DNA/Ginger	8	0.000689083333333
DNA/Academ	8	0.01376225
Other	8	0.0298641666667
SINE	9	0.0255449166667
LINE/R2	9	0.0172545
LINE/Jockey-I	9	0.0729195833333
LINE/R1	9	0.0124416666667
LINE/LOA	9	0
LINE/L2	9	0.006195
LINE/CR1	9	0.0208485
LINE/RTE	9	0.22922175
LINE	9	0.0221373333333
LINE/L1	9	0
LTR	9	0.00756766666667
LTR/Gypsy	9	0.161351916667
LTR/Copia	9	0.0137380833333
RC/Helitron	9	0.0118871666667
DNA/Transib	9	7.89166666667e-05
DNA/TcMar	9	0.0438119166667
DNA/Sola	9	0.00334575
DNA/PiggyBac	9	0.001582
DNA/P	9	0.00041275
