Type	Kimura	Genome_percent
SINE	0	0.022022
LINE/R2	0	2.31666666667e-05
LINE/Jockey-I	0	0.0122771666667
LINE/R1	0	0.00585158333333
LINE/LOA	0	0.00322525
LINE/L2	0	0.000114583333333
LINE/CR1	0	0.001938
LINE/RTE	0	0.00190441666667
LINE	0	0.004179
LINE/L1	0	3.33333333333e-05
LTR	0	0.01837975
LTR/Gypsy	0	0.0229135
LTR/Copia	0	0.15346825
RC/Helitron	0	0.0124446666667
DNA/Transib	0	4.05833333333e-05
DNA/TcMar	0	0.0135923333333
DNA/Sola	0	0.00749483333333
DNA/PiggyBac	0	0.0033135
DNA/P	0	0.000185666666667
DNA	0	0.067893
DNA/Maverick	0	0.00817783333333
DNA/Kolobok	0	0.000463166666667
DNA/hAT	0	0.135349583333
DNA/Harbinger	0	0.00447333333333
DNA/Ginger	0	0
DNA/Academ	0	0.0100869166667
Other	0	0.000186583333333
SINE	1	0.0425165
LINE/R2	1	5e-06
LINE/Jockey-I	1	0.0260155
LINE/R1	1	0.015739
LINE/LOA	1	0.0025365
LINE/L2	1	0.000357916666667
LINE/CR1	1	0.00194175
LINE/RTE	1	0.007315
LINE	1	0.00503683333333
LINE/L1	1	9.025e-05
LTR	1	0.0207689166667
LTR/Gypsy	1	0.066867
LTR/Copia	1	0.0520886666667
RC/Helitron	1	0.0155115
DNA/Transib	1	0.000108
DNA/TcMar	1	0.0214275833333
DNA/Sola	1	0.00360983333333
DNA/PiggyBac	1	0.00368983333333
DNA/P	1	0.00216291666667
DNA	1	0.0707620833333
DNA/Maverick	1	0.0226195833333
DNA/Kolobok	1	0.00221275
DNA/hAT	1	0.283238583333
DNA/Harbinger	1	0.00555275
DNA/Ginger	1	0
DNA/Academ	1	0.0128315833333
Other	1	0.000594416666667
SINE	2	0.0702514166667
LINE/R2	2	4.79166666667e-05
LINE/Jockey-I	2	0.0450444166667
LINE/R1	2	0.0182965833333
LINE/LOA	2	0.0007205
LINE/L2	2	0.00104533333333
LINE/CR1	2	0.00700575
LINE/RTE	2	0.0324634166667
LINE	2	0.008441
LINE/L1	2	0.000110666666667
LTR	2	0.020273
LTR/Gypsy	2	0.126840916667
LTR/Copia	2	0.0448633333333
RC/Helitron	2	0.0227644166667
DNA/Transib	2	0.000407916666667
DNA/TcMar	2	0.028694
DNA/Sola	2	0.00610058333333
DNA/PiggyBac	2	0.00419716666667
DNA/P	2	0.00581108333333
DNA	2	0.0659515833333
DNA/Maverick	2	0.0450891666667
DNA/Kolobok	2	0.00232158333333
DNA/hAT	2	0.483701333333
DNA/Harbinger	2	0.00904808333333
DNA/Ginger	2	0
DNA/Academ	2	0.00867458333333
Other	2	0.00148333333333
SINE	3	0.0932395
LINE/R2	3	9.7e-05
LINE/Jockey-I	3	0.0527379166667
LINE/R1	3	0.0136151666667
LINE/LOA	3	0.000112083333333
LINE/L2	3	0.00163975
LINE/CR1	3	0.00904175
LINE/RTE	3	0.0146675
LINE	3	0.00998816666667
LINE/L1	3	0.000507
LTR	3	0.0234019166667
LTR/Gypsy	3	0.198540916667
LTR/Copia	3	0.0388325833333
RC/Helitron	3	0.028111
DNA/Transib	3	0.000848333333333
DNA/TcMar	3	0.0313715
DNA/Sola	3	0.00871241666667
DNA/PiggyBac	3	0.00264358333333
DNA/P	3	0.00781475
DNA	3	0.0754350833333
DNA/Maverick	3	0.0568119166667
DNA/Kolobok	3	0.0009435
DNA/hAT	3	0.575752583333
DNA/Harbinger	3	0.0116845833333
DNA/Ginger	3	0
DNA/Academ	3	0.00883875
Other	3	0.00271275
SINE	4	0.114988583333
LINE/R2	4	0.000156666666667
LINE/Jockey-I	4	0.0538670833333
LINE/R1	4	0.0107591666667
LINE/LOA	4	0
LINE/L2	4	0.00418758333333
LINE/CR1	4	0.01128475
LINE/RTE	4	0.0185148333333
LINE	4	0.01218325
LINE/L1	4	0.000193666666667
LTR	4	0.0155415
LTR/Gypsy	4	0.272702333333
LTR/Copia	4	0.0319323333333
RC/Helitron	4	0.03198475
DNA/Transib	4	0.00156025
DNA/TcMar	4	0.0308823333333
DNA/Sola	4	0.00704308333333
DNA/PiggyBac	4	0.00380183333333
DNA/P	4	0.00378008333333
DNA	4	0.0674815833333
DNA/Maverick	4	0.0689113333333
DNA/Kolobok	4	0.000982416666667
DNA/hAT	4	0.504247833333
DNA/Harbinger	4	0.00904808333333
DNA/Ginger	4	0
DNA/Academ	4	0.00734866666667
Other	4	0.00539633333333
SINE	5	0.132928666667
LINE/R2	5	0.000184166666667
LINE/Jockey-I	5	0.06046075
LINE/R1	5	0.0115054166667
LINE/LOA	5	1.96666666667e-05
LINE/L2	5	0.00567708333333
LINE/CR1	5	0.01396625
LINE/RTE	5	0.0287643333333
LINE	5	0.01203825
LINE/L1	5	0.000414583333333
LTR	5	0.0122771666667
LTR/Gypsy	5	0.277322583333
LTR/Copia	5	0.0270045
RC/Helitron	5	0.02541675
DNA/Transib	5	0.00151733333333
DNA/TcMar	5	0.0354941666667
DNA/Sola	5	0.00583025
DNA/PiggyBac	5	0.003302
DNA/P	5	0.00175775
DNA	5	0.0614214166667
DNA/Maverick	5	0.0848365833333
DNA/Kolobok	5	0.00115108333333
DNA/hAT	5	0.39780775
DNA/Harbinger	5	0.00771075
DNA/Ginger	5	0
DNA/Academ	5	0.0084365
Other	5	0.0119446666667
SINE	6	0.140617
LINE/R2	6	0.000493833333333
LINE/Jockey-I	6	0.0580755833333
LINE/R1	6	0.0120366666667
LINE/LOA	6	1.85833333333e-05
LINE/L2	6	0.00834191666667
LINE/CR1	6	0.0237554166667
LINE/RTE	6	0.0408285
LINE	6	0.0116945
LINE/L1	6	0.000234666666667
LTR	6	0.0099385
LTR/Gypsy	6	0.233665666667
LTR/Copia	6	0.0196786666667
RC/Helitron	6	0.024229
DNA/Transib	6	0.000439333333333
DNA/TcMar	6	0.05137525
DNA/Sola	6	0.00582841666667
DNA/PiggyBac	6	0.00228091666667
DNA/P	6	0.00042075
DNA	6	0.0672225
DNA/Maverick	6	0.112368166667
DNA/Kolobok	6	0.000416083333333
DNA/hAT	6	0.299606916667
DNA/Harbinger	6	0.008024
DNA/Ginger	6	0
DNA/Academ	6	0.00943208333333
Other	6	0.0242049166667
SINE	7	0.12367575
LINE/R2	7	0.00137158333333
LINE/Jockey-I	7	0.06984675
LINE/R1	7	0.00982841666667
LINE/LOA	7	0
LINE/L2	7	0.0085735
LINE/CR1	7	0.0262711666667
LINE/RTE	7	0.0589769166667
LINE	7	0.00621941666667
LINE/L1	7	0.000486666666667
LTR	7	0.00933041666667
LTR/Gypsy	7	0.176589583333
LTR/Copia	7	0.0158478333333
RC/Helitron	7	0.018399
DNA/Transib	7	4.90833333333e-05
DNA/TcMar	7	0.0526445
DNA/Sola	7	0.00403925
DNA/PiggyBac	7	0.00178916666667
DNA/P	7	0.000435666666667
DNA	7	0.0745875833333
DNA/Maverick	7	0.136773
DNA/Kolobok	7	0.00051075
DNA/hAT	7	0.220396333333
DNA/Harbinger	7	0.00750258333333
DNA/Ginger	7	0
DNA/Academ	7	0.008605
Other	7	0.0294540833333
SINE	8	0.110372416667
LINE/R2	8	0.00301708333333
LINE/Jockey-I	8	0.0659823333333
LINE/R1	8	0.01419025
LINE/LOA	8	0
LINE/L2	8	0.00777283333333
LINE/CR1	8	0.0225885833333
LINE/RTE	8	0.0783936666667
LINE	8	0.00638791666667
LINE/L1	8	0.000235166666667
LTR	8	0.00716975
LTR/Gypsy	8	0.151073583333
LTR/Copia	8	0.0160505
RC/Helitron	8	0.013626
DNA/Transib	8	2.15833333333e-05
DNA/TcMar	8	0.05032275
DNA/Sola	8	0.00262141666667
DNA/PiggyBac	8	0.00112725
DNA/P	8	0.000466166666667
DNA	8	0.0757443333333
DNA/Maverick	8	0.129365666667
DNA/Kolobok	8	0.0009315
DNA/hAT	8	0.187497833333
DNA/Harbinger	8	0.008523
DNA/Ginger	8	0
DNA/Academ	8	0.00737716666667
Other	8	0.02655925
SINE	9	0.0931838333333
LINE/R2	9	0.0077795
LINE/Jockey-I	9	0.0639630833333
LINE/R1	9	0.01343925
LINE/LOA	9	0
LINE/L2	9	0.00460758333333
LINE/CR1	9	0.0171656666667
LINE/RTE	9	0.09187975
LINE	9	0.00494716666667
LINE/L1	9	0.000345416666667
LTR	9	0.00851475
LTR/Gypsy	9	0.136134916667
LTR/Copia	9	0.01515675
RC/Helitron	9	0.0116410833333
DNA/Transib	9	0.000327
DNA/TcMar	9	0.051572
DNA/Sola	9	0.00229783333333
DNA/PiggyBac	9	0.00140066666667
DNA/P	9	0.00060125
DNA	9	0.0805665
DNA/Maverick	9	0.119227583333
DNA/Kolobok	9	0.00071625
DNA/hAT	9	0.172968833333
DNA/Harbinger	9	0.00645033333333
DNA/Ginger	9	0
DNA/Academ	9	0.0093165
Other	9	0.0213519166667
SINE	10	0.0873409166667
LINE/R2	10	0.0108868333333
LINE/Jockey-I	10	0.0627944166667
LINE/R1	10	0.00893058333333
LINE/LOA	10	0
LINE/L2	10	0.002991
LINE/CR1	10	0.0110466666667
LINE/RTE	10	0.11242025
LINE	10	0.00541566666667
LINE/L1	10	0.000172416666667
LTR	10	0.00730025
LTR/Gypsy	10	0.135368166667
LTR/Copia	10	0.0123825
RC/Helitron	10	0.0102208333333
DNA/Transib	10	0.000394
DNA/TcMar	10	0.04135425
DNA/Sola	10	0.00221975
DNA/PiggyBac	10	0.000944416666667
DNA/P	10	0.000261166666667
DNA	10	0.07509
DNA/Maverick	10	0.116259833333
DNA/Kolobok	10	0.00049525
DNA/hAT	10	0.164104833333
DNA/Harbinger	10	0.007268
DNA/Ginger	10	0
DNA/Academ	10	0.00900758333333
Other	10	0.0202061666667
SINE	11	0.0827780833333
LINE/R2	11	0.0158276666667
LINE/Jockey-I	11	0.0556095
LINE/R1	11	0.00672583333333
LINE/LOA	11	0
LINE/L2	11	0.00229383333333
LINE/CR1	11	0.0085565
LINE/RTE	11	0.145120583333
LINE	11	0.00564683333333
LINE/L1	11	0.000193333333333
LTR	11	0.007063
LTR/Gypsy	11	0.1347035
LTR/Copia	11	0.0135760833333
RC/Helitron	11	0.00856933333333
DNA/Transib	11	7.025e-05
DNA/TcMar	11	0.0349071666667
DNA/Sola	11	0.0021585
DNA/PiggyBac	11	0.0005625
DNA/P	11	0.000208833333333
DNA	11	0.0658483333333
DNA/Maverick	11	0.109418833333
DNA/Kolobok	11	0.000359083333333
DNA/hAT	11	0.162980166667
DNA/Harbinger	11	0.00847075
DNA/Ginger	11	0
DNA/Academ	11	0.0102165833333
Other	11	0.0209134166667
SINE	12	0.0810678333333
LINE/R2	12	0.0191383333333
LINE/Jockey-I	12	0.0511405
LINE/R1	12	0.00471741666667
LINE/LOA	12	0
