Type	Kimura	Genome_percent
SINE	0	0.00248891666667
LINE/R2	0	0.000157416666667
LINE/Jockey-I	0	0.0130415833333
LINE/R1	0	0.0108061666667
LINE/LOA	0	0.00134325
LINE/L2	0	0.00024975
LINE/CR1	0	0.000616416666667
LINE/RTE	0	0.00125558333333
LINE	0	0.00706641666667
LINE/L1	0	2.76666666667e-05
LTR	0	0.00511025
LTR/Gypsy	0	0.0186396666667
LTR/Copia	0	0.0130123333333
RC/Helitron	0	0.0125325833333
DNA/Transib	0	0
DNA/TcMar	0	0.0106019166667
DNA/Sola	0	0.00331241666667
DNA/PiggyBac	0	0.00106266666667
DNA/P	0	0.000233666666667
DNA	0	0.0187686666667
DNA/Maverick	0	0.00248858333333
DNA/Kolobok	0	0.000294333333333
DNA/hAT	0	0.1837795
DNA/Harbinger	0	0.00202716666667
DNA/Ginger	0	0
DNA/Academ	0	0.00051725
Other	0	0.00219766666667
SINE	1	0.00960908333333
LINE/R2	1	0.0003065
LINE/Jockey-I	1	0.014343
LINE/R1	1	0.00588183333333
LINE/LOA	1	0.0006475
LINE/L2	1	0.000514166666667
LINE/CR1	1	0.0017765
LINE/RTE	1	0.002829
LINE	1	0.00847483333333
LINE/L1	1	7.91666666667e-05
LTR	1	0.0055645
LTR/Gypsy	1	0.03521575
LTR/Copia	1	0.0132940833333
RC/Helitron	1	0.0204795833333
DNA/Transib	1	0
DNA/TcMar	1	0.0119350833333
DNA/Sola	1	0.00454241666667
DNA/PiggyBac	1	0.00067225
DNA/P	1	0.00104016666667
DNA	1	0.02115025
DNA/Maverick	1	0.0123115
DNA/Kolobok	1	0.000264
DNA/hAT	1	0.310168166667
DNA/Harbinger	1	0.00539883333333
DNA/Ginger	1	0
DNA/Academ	1	0.0018285
Other	1	0.00408608333333
SINE	2	0.0272400833333
LINE/R2	2	0.00260391666667
LINE/Jockey-I	2	0.02343825
LINE/R1	2	0.00534766666667
LINE/LOA	2	0.000541583333333
LINE/L2	2	0.0010165
LINE/CR1	2	0.00546966666667
LINE/RTE	2	0.00664408333333
LINE	2	0.00924808333333
LINE/L1	2	0.000109166666667
LTR	2	0.00762275
LTR/Gypsy	2	0.0498886666667
LTR/Copia	2	0.0219543333333
RC/Helitron	2	0.0444549166667
DNA/Transib	2	0
DNA/TcMar	2	0.0172378333333
DNA/Sola	2	0.00608233333333
DNA/PiggyBac	2	0.000742333333333
DNA/P	2	0.00175808333333
DNA	2	0.0257353333333
DNA/Maverick	2	0.02612425
DNA/Kolobok	2	0.000548666666667
DNA/hAT	2	0.45668825
DNA/Harbinger	2	0.00681
DNA/Ginger	2	0
DNA/Academ	2	0.00435666666667
Other	2	0.00587433333333
SINE	3	0.0361729166667
LINE/R2	3	0.00230266666667
LINE/Jockey-I	3	0.0233290833333
LINE/R1	3	0.00461483333333
LINE/LOA	3	0.000167583333333
LINE/L2	3	0.00219191666667
LINE/CR1	3	0.0107495
LINE/RTE	3	0.00940591666667
LINE	3	0.0109209166667
LINE/L1	3	8.96666666667e-05
LTR	3	0.00753808333333
LTR/Gypsy	3	0.0637936666667
LTR/Copia	3	0.0250025833333
RC/Helitron	3	0.0634099166667
DNA/Transib	3	0
DNA/TcMar	3	0.0228344166667
DNA/Sola	3	0.00781783333333
DNA/PiggyBac	3	0.00141125
DNA/P	3	0.00208416666667
DNA	3	0.0262189166667
DNA/Maverick	3	0.0400544166667
DNA/Kolobok	3	0.0006435
DNA/hAT	3	0.5056365
DNA/Harbinger	3	0.00670008333333
DNA/Ginger	3	0
DNA/Academ	3	0.00551225
Other	3	0.00956308333333
SINE	4	0.0292201666667
LINE/R2	4	0.00518991666667
LINE/Jockey-I	4	0.0264096666667
LINE/R1	4	0.00542516666667
LINE/LOA	4	1.05833333333e-05
LINE/L2	4	0.00702825
LINE/CR1	4	0.0223350833333
LINE/RTE	4	0.0146325
LINE	4	0.0098815
LINE/L1	4	9.14166666667e-05
LTR	4	0.00727233333333
LTR/Gypsy	4	0.0834745833333
LTR/Copia	4	0.02417225
RC/Helitron	4	0.05434075
DNA/Transib	4	0
DNA/TcMar	4	0.0268483333333
DNA/Sola	4	0.00633133333333
DNA/PiggyBac	4	0.00226883333333
DNA/P	4	0.00128391666667
DNA	4	0.0396075
DNA/Maverick	4	0.04913725
DNA/Kolobok	4	0.00068275
DNA/hAT	4	0.5224645
DNA/Harbinger	4	0.00825925
DNA/Ginger	4	0
DNA/Academ	4	0.00627625
Other	4	0.0129271666667
SINE	5	0.0210394166667
LINE/R2	5	0.0110505
LINE/Jockey-I	5	0.0304755833333
LINE/R1	5	0.00598141666667
LINE/LOA	5	0
LINE/L2	5	0.00749183333333
LINE/CR1	5	0.02693325
LINE/RTE	5	0.0209778333333
LINE	5	0.0086995
LINE/L1	5	0.000268583333333
LTR	5	0.00747441666667
LTR/Gypsy	5	0.113714
LTR/Copia	5	0.0198703333333
RC/Helitron	5	0.0386016666667
DNA/Transib	5	0
DNA/TcMar	5	0.0388298333333
DNA/Sola	5	0.00566275
DNA/PiggyBac	5	0.00286533333333
DNA/P	5	0.000686416666667
DNA	5	0.0585450833333
DNA/Maverick	5	0.0668250833333
DNA/Kolobok	5	0.00055925
DNA/hAT	5	0.489021833333
DNA/Harbinger	5	0.00831541666667
DNA/Ginger	5	0
DNA/Academ	5	0.00606708333333
Other	5	0.0174924166667
SINE	6	0.0147003333333
LINE/R2	6	0.0160869166667
LINE/Jockey-I	6	0.0388235833333
LINE/R1	6	0.005339
LINE/LOA	6	8e-06
LINE/L2	6	0.0081825
LINE/CR1	6	0.0295654166667
LINE/RTE	6	0.0306843333333
LINE	6	0.0072755
LINE/L1	6	8.99166666667e-05
LTR	6	0.00544783333333
LTR/Gypsy	6	0.146096
LTR/Copia	6	0.0166135833333
RC/Helitron	6	0.02183025
DNA/Transib	6	0
DNA/TcMar	6	0.046911
DNA/Sola	6	0.0062155
DNA/PiggyBac	6	0.00279241666667
DNA/P	6	0.000839583333333
DNA	6	0.0714779166667
DNA/Maverick	6	0.091253
DNA/Kolobok	6	0.000734666666667
DNA/hAT	6	0.41560075
DNA/Harbinger	6	0.00974625
DNA/Ginger	6	0
DNA/Academ	6	0.00617558333333
Other	6	0.019754
SINE	7	0.0136033333333
LINE/R2	7	0.0240921666667
LINE/Jockey-I	7	0.0406741666667
LINE/R1	7	0.007522
LINE/LOA	7	0
LINE/L2	7	0.00538116666667
LINE/CR1	7	0.0238550833333
LINE/RTE	7	0.0493234166667
LINE	7	0.00611883333333
LINE/L1	7	0.00012425
LTR	7	0.004086
LTR/Gypsy	7	0.153542166667
LTR/Copia	7	0.01495375
RC/Helitron	7	0.01403425
DNA/Transib	7	0
DNA/TcMar	7	0.0469661666667
DNA/Sola	7	0.00601141666667
DNA/PiggyBac	7	0.00086075
DNA/P	7	0.00105966666667
DNA	7	0.0844951666667
DNA/Maverick	7	0.118690666667
DNA/Kolobok	7	0.00045425
DNA/hAT	7	0.344088833333
DNA/Harbinger	7	0.0102935833333
DNA/Ginger	7	0
DNA/Academ	7	0.00949566666667
Other	7	0.0215308333333
SINE	8	0.01209625
LINE/R2	8	0.03615375
LINE/Jockey-I	8	0.04810975
LINE/R1	8	0.00711983333333
LINE/LOA	8	0
LINE/L2	8	0.00383933333333
LINE/CR1	8	0.02037325
LINE/RTE	8	0.0767845
LINE	8	0.00682225
LINE/L1	8	0.000219083333333
LTR	8	0.00412908333333
LTR/Gypsy	8	0.149963666667
LTR/Copia	8	0.0153920833333
RC/Helitron	8	0.01058575
DNA/Transib	8	0
DNA/TcMar	8	0.0430586666667
DNA/Sola	8	0.003393
DNA/PiggyBac	8	0.00140766666667
DNA/P	8	0.001773
DNA	8	0.0891446666667
DNA/Maverick	8	0.131296916667
DNA/Kolobok	8	0.000676416666667
DNA/hAT	8	0.288459416667
DNA/Harbinger	8	0.009329
DNA/Ginger	8	0
DNA/Academ	8	0.00987683333333
Other	8	0.022851
SINE	9	0.0151278333333
LINE/R2	9	0.0447565833333
LINE/Jockey-I	9	0.0515148333333
LINE/R1	9	0.00965441666667
LINE/LOA	9	0
LINE/L2	9	0.00291658333333
LINE/CR1	9	0.0142813333333
LINE/RTE	9	0.11620825
LINE	9	0.00584275
LINE/L1	9	8.96666666667e-05
LTR	9	0.00415175
LTR/Gypsy	9	0.1453865
LTR/Copia	9	0.01438225
RC/Helitron	9	0.00881416666667
DNA/Transib	9	0
DNA/TcMar	9	0.042668
DNA/Sola	9	0.00211566666667
DNA/PiggyBac	9	0.0009935
DNA/P	9	0.00183433333333
DNA	9	0.0882211666667
DNA/Maverick	9	0.128830083333
DNA/Kolobok	9	0.000261
DNA/hAT	9	0.237803583333
DNA/Harbinger	9	0.00933875
DNA/Ginger	9	0
DNA/Academ	9	0.0118621666667
Other	9	0.0180444166667
SINE	10	0.0202980833333
LINE/R2	10	0.0588331666667
LINE/Jockey-I	10	0.0506281666667
LINE/R1	10	0.0105625833333
LINE/LOA	10	0
LINE/L2	10	0.00277508333333
LINE/CR1	10	0.01145675
LINE/RTE	10	0.149892333333
LINE	10	0.00818583333333
LINE/L1	10	0.000184916666667
LTR	10	0.005778
LTR/Gypsy	10	0.139169583333
LTR/Copia	10	0.01507475
RC/Helitron	10	0.00880883333333
DNA/Transib	10	0
DNA/TcMar	10	0.0321196666667
DNA/Sola	10	0.00211758333333
DNA/PiggyBac	10	0.000626
DNA/P	10	0.00108933333333
DNA	10	0.0800635
DNA/Maverick	10	0.115814416667
DNA/Kolobok	10	3.175e-05
DNA/hAT	10	0.19853575
DNA/Harbinger	10	0.0108940833333
DNA/Ginger	10	0
DNA/Academ	10	0.0093285
Other	10	0.0175380833333
SINE	11	0.0247766666667
LINE/R2	11	0.0760148333333
LINE/Jockey-I	11	0.0506105833333
LINE/R1	11	0.0118264166667
LINE/LOA	11	0
LINE/L2	11	0.00213233333333
LINE/CR1	11	0.00924375
LINE/RTE	11	0.183509416667
LINE	11	0.0103281666667
LINE/L1	11	0
LTR	11	0.00638366666667
LTR/Gypsy	11	0.130477666667
LTR/Copia	11	0.0109530833333
RC/Helitron	11	0.00783683333333
DNA/Transib	11	0
DNA/TcMar	11	0.0300214166667
DNA/Sola	11	0.00134725
DNA/PiggyBac	11	0.00039
DNA/P	11	0.000905416666667
