Type	Kimura	Genome_percent
SINE	0	0.0660228333333
LINE/R2	0	0.00038975
LINE/Jockey-I	0	0.0115095833333
LINE/R1	0	0.013592
LINE/LOA	0	0.000842583333333
LINE/L2	0	0.000101416666667
LINE/CR1	0	0.00113958333333
LINE/RTE	0	0.00201258333333
LINE	0	0.0330635833333
LINE/L1	0	0
LTR	0	0.0211489166667
LTR/Gypsy	0	0.10832975
LTR/Copia	0	0.0513364166667
RC/Helitron	0	0.0114281666667
DNA/Transib	0	0
DNA/TcMar	0	0.0187886666667
DNA/Sola	0	0.00882208333333
DNA/PiggyBac	0	0.000809333333333
DNA/P	0	0.00187433333333
DNA	0	0.07489025
DNA/Maverick	0	0.00548041666667
DNA/Kolobok	0	0.000473916666667
DNA/hAT	0	0.0751011666667
DNA/Harbinger	0	0.00518916666667
DNA/Ginger	0	0
DNA/Academ	0	0.00307958333333
Other	0	0.000931583333333
SINE	1	0.188332583333
LINE/R2	1	0.000224
LINE/Jockey-I	1	0.0198276666667
LINE/R1	1	0.0097465
LINE/LOA	1	0.000524833333333
LINE/L2	1	0.000322666666667
LINE/CR1	1	0.00218675
LINE/RTE	1	0.00320241666667
LINE	1	0.06118775
LINE/L1	1	0
LTR	1	0.018284
LTR/Gypsy	1	0.14150525
LTR/Copia	1	0.0246428333333
RC/Helitron	1	0.0369849166667
DNA/Transib	1	0
DNA/TcMar	1	0.01296325
DNA/Sola	1	0.0052525
DNA/PiggyBac	1	0.00141433333333
DNA/P	1	0.00160275
DNA	1	0.03990325
DNA/Maverick	1	0.0212624166667
DNA/Kolobok	1	0.00122066666667
DNA/hAT	1	0.216051416667
DNA/Harbinger	1	0.00638758333333
DNA/Ginger	1	0
DNA/Academ	1	0.0101685
Other	1	0.0027715
SINE	2	0.21363
LINE/R2	2	0.00060175
LINE/Jockey-I	2	0.0327244166667
LINE/R1	2	0.00733208333333
LINE/LOA	2	0.000479583333333
LINE/L2	2	0.00157158333333
LINE/CR1	2	0.00423816666667
LINE/RTE	2	0.00857275
LINE	2	0.07399375
LINE/L1	2	0
LTR	2	0.0155185
LTR/Gypsy	2	0.1848025
LTR/Copia	2	0.0269736666667
RC/Helitron	2	0.059928
DNA/Transib	2	0
DNA/TcMar	2	0.0234249166667
DNA/Sola	2	0.00624841666667
DNA/PiggyBac	2	0.0015125
DNA/P	2	0.003264
DNA	2	0.033677
DNA/Maverick	2	0.0369009166667
DNA/Kolobok	2	0.00278233333333
DNA/hAT	2	0.25875
DNA/Harbinger	2	0.00731641666667
DNA/Ginger	2	0
DNA/Academ	2	0.0175948333333
Other	2	0.00506708333333
SINE	3	0.151835
LINE/R2	3	0.000641333333333
LINE/Jockey-I	3	0.033513
LINE/R1	3	0.00688883333333
LINE/LOA	3	3.35e-05
LINE/L2	3	0.00406391666667
LINE/CR1	3	0.00669066666667
LINE/RTE	3	0.00930841666667
LINE	3	0.0661445
LINE/L1	3	0
LTR	3	0.0119580833333
LTR/Gypsy	3	0.208450833333
LTR/Copia	3	0.0294989166667
RC/Helitron	3	0.0788635
DNA/Transib	3	0
DNA/TcMar	3	0.0327819166667
