Type	Kimura	Genome_percent
SINE	0	0.00512233333333
LINE/R2	0	0.00688291666667
LINE/Jockey-I	0	0.00790325
LINE/R1	0	0.00196258333333
LINE/LOA	0	0.00134541666667
LINE/L2	0	0.00309508333333
LINE/CR1	0	0.0271390833333
LINE/RTE	0	0.00275608333333
LINE	0	0.00738383333333
LINE/L1	0	0.000119416666667
LTR	0	0.00624316666667
LTR/Gypsy	0	0.0235836666667
LTR/Copia	0	0.0139635
RC/Helitron	0	0.01196725
DNA/Transib	0	9.5e-06
DNA/TcMar	0	0.0301883333333
DNA/Sola	0	0.00856016666667
DNA/PiggyBac	0	0.00510166666667
DNA/P	0	0.000650416666667
DNA	0	0.059318
DNA/Maverick	0	0.005267
DNA/Kolobok	0	2.55833333333e-05
DNA/hAT	0	0.0704269166667
DNA/Harbinger	0	0.0083175
DNA/Ginger	0	0
DNA/Academ	0	0.000301416666667
Other	0	0.00032975
SINE	1	0.00872816666667
LINE/R2	1	0.01115625
LINE/Jockey-I	1	0.0118018333333
LINE/R1	1	0.00382366666667
LINE/LOA	1	0.00084775
LINE/L2	1	0.00374625
LINE/CR1	1	0.0036315
LINE/RTE	1	0.00189225
LINE	1	0.00951325
LINE/L1	1	0.00025975
LTR	1	0.00804183333333
LTR/Gypsy	1	0.0339081666667
LTR/Copia	1	0.0164506666667
RC/Helitron	1	0.021978
DNA/Transib	1	2.225e-05
DNA/TcMar	1	0.01917
DNA/Sola	1	0.00910733333333
DNA/PiggyBac	1	0.003389
DNA/P	1	0.000923
DNA	1	0.052951
DNA/Maverick	1	0.0173409166667
DNA/Kolobok	1	0.000210416666667
DNA/hAT	1	0.13664225
DNA/Harbinger	1	0.0085295
DNA/Ginger	1	0
DNA/Academ	1	0.00113091666667
Other	1	0.000409833333333
SINE	2	0.00650283333333
LINE/R2	2	0.004314
LINE/Jockey-I	2	0.0191959166667
LINE/R1	2	0.00720025
LINE/LOA	2	0.000231416666667
LINE/L2	2	0.002305
LINE/CR1	2	0.00479533333333
LINE/RTE	2	0.00429091666667
LINE	2	0.0105804166667
LINE/L1	2	7.73333333333e-05
LTR	2	0.00680475
LTR/Gypsy	2	0.0592434166667
LTR/Copia	2	0.0154936666667
RC/Helitron	2	0.0328821666667
DNA/Transib	2	0
DNA/TcMar	2	0.0327306666667
DNA/Sola	2	0.00724758333333
DNA/PiggyBac	2	0.00197041666667
DNA/P	2	0.000722833333333
DNA	2	0.0662864166667
DNA/Maverick	2	0.0300493333333
DNA/Kolobok	2	0.000117583333333
DNA/hAT	2	0.214661
DNA/Harbinger	2	0.00920825
DNA/Ginger	2	0
DNA/Academ	2	0.00242991666667
Other	2	0.00101608333333
SINE	3	0.00428983333333
LINE/R2	3	0.011367
LINE/Jockey-I	3	0.0262675833333
LINE/R1	3	0.00663608333333
LINE/LOA	3	5.09166666667e-05
LINE/L2	3	0.00147808333333
LINE/CR1	3	0.00983566666667
LINE/RTE	3	0.00904033333333
LINE	3	0.00772058333333
LINE/L1	3	0
LTR	3	0.00703575
LTR/Gypsy	3	0.0959760833333
LTR/Copia	3	0.0160489166667
RC/Helitron	3	0.031695
DNA/Transib	3	0.000155
DNA/TcMar	3	0.0403063333333
DNA/Sola	3	0.0066285
DNA/PiggyBac	3	0.000797
DNA/P	3	0.00105558333333
DNA	3	0.076075
DNA/Maverick	3	0.0357334166667
DNA/Kolobok	3	0.000281416666667
DNA/hAT	3	0.26426325
DNA/Harbinger	3	0.00930116666667
DNA/Ginger	3	0
DNA/Academ	3	0.00330466666667
Other	3	0.00332491666667
SINE	4	0.00395575
LINE/R2	4	0.00867408333333
LINE/Jockey-I	4	0.034166
LINE/R1	4	0.00848608333333
LINE/LOA	4	7.41666666667e-06
LINE/L2	4	0.00282683333333
LINE/CR1	4	0.0187106666667
LINE/RTE	4	0.0140101666667
LINE	4	0.00830766666667
LINE/L1	4	0
LTR	4	0.00774616666667
LTR/Gypsy	4	0.112988333333
LTR/Copia	4	0.0182501666667
RC/Helitron	4	0.02097425
DNA/Transib	4	8.56666666667e-05
DNA/TcMar	4	0.0511966666667
DNA/Sola	4	0.006226
DNA/PiggyBac	4	0.000805666666667
DNA/P	4	0.000934916666667
DNA	4	0.0911268333333
DNA/Maverick	4	0.0430615
DNA/Kolobok	4	0.00025025
DNA/hAT	4	0.293203833333
DNA/Harbinger	4	0.0116763333333
DNA/Ginger	4	0
DNA/Academ	4	0.0041025
Other	4	0.00516266666667
SINE	5	0.00701158333333
LINE/R2	5	0.0197703333333
LINE/Jockey-I	5	0.0381794166667
LINE/R1	5	0.0105640833333
LINE/LOA	5	1.56666666667e-05
LINE/L2	5	0.0033145
LINE/CR1	5	0.021366
LINE/RTE	5	0.026771
LINE	5	0.00841983333333
LINE/L1	5	0
LTR	5	0.00746716666667
LTR/Gypsy	5	0.114193833333
LTR/Copia	5	0.0233760833333
RC/Helitron	5	0.0140501666667
DNA/Transib	5	2.35e-05
DNA/TcMar	5	0.0622035
DNA/Sola	5	0.00526808333333
DNA/PiggyBac	5	0.001076
DNA/P	5	0.0008405
DNA	5	0.134483833333
DNA/Maverick	5	0.0523360833333
DNA/Kolobok	5	0.00022775
DNA/hAT	5	0.285984666667
DNA/Harbinger	5	0.01746825
DNA/Ginger	5	0
DNA/Academ	5	0.00510166666667
Other	5	0.00568866666667
SINE	6	0.0135001666667
LINE/R2	6	0.0207575
LINE/Jockey-I	6	0.0365785833333
LINE/R1	6	0.0127011666667
LINE/LOA	6	0
LINE/L2	6	0.00437558333333
LINE/CR1	6	0.0212264166667
LINE/RTE	6	0.04626825
LINE	6	0.0106999166667
LINE/L1	6	0
LTR	6	0.00820308333333
LTR/Gypsy	6	0.113496166667
LTR/Copia	6	0.02465925
RC/Helitron	6	0.0133885833333
DNA/Transib	6	5.50833333333e-05
DNA/TcMar	6	0.07276925
DNA/Sola	6	0.00488716666667
DNA/PiggyBac	6	0.00165158333333
DNA/P	6	0.000809
DNA	6	0.14815975
DNA/Maverick	6	0.0782571666667
DNA/Kolobok	6	0.000662833333333
DNA/hAT	6	0.262008833333
DNA/Harbinger	6	0.0201023333333
DNA/Ginger	6	0
DNA/Academ	6	0.00603083333333
Other	6	0.00556166666667
SINE	7	0.0244716666667
LINE/R2	7	0.0248338333333
LINE/Jockey-I	7	0.0392120833333
LINE/R1	7	0.0106089166667
LINE/LOA	7	0
LINE/L2	7	0.00410441666667
LINE/CR1	7	0.0200743333333
LINE/RTE	7	0.0732445833333
LINE	7	0.01074325
LINE/L1	7	0.000137166666667
LTR	7	0.00862083333333
LTR/Gypsy	7	0.10430475
LTR/Copia	7	0.02206875
RC/Helitron	7	0.014211
DNA/Transib	7	0.000181916666667
DNA/TcMar	7	0.0777850833333
DNA/Sola	7	0.00374883333333
DNA/PiggyBac	7	0.00174658333333
DNA/P	7	0.00107025
DNA	7	0.1266825
DNA/Maverick	7	0.0956644166667
DNA/Kolobok	7	0.00067275
DNA/hAT	7	0.233764
DNA/Harbinger	7	0.02268075
DNA/Ginger	7	0
DNA/Academ	7	0.00628875
Other	7	0.00437275
SINE	8	0.0419691666667
LINE/R2	8	0.0363550833333
LINE/Jockey-I	8	0.0410950833333
LINE/R1	8	0.00751575
LINE/LOA	8	8.5e-06
