Type	Kimura	Genome_percent
SINE	0	0.00039
LINE/R2	0	0.000219833333333
LINE/Jockey-I	0	0.0190285833333
LINE/R1	0	0.00191891666667
LINE/LOA	0	0.0014665
LINE/L2	0	0.00282816666667
LINE/CR1	0	0.0368264166667
LINE/RTE	0	0.0125138333333
LINE	0	0.00789491666667
LINE/L1	0	0
LTR	0	0.00759608333333
LTR/Gypsy	0	0.0424401666667
LTR/Copia	0	0.01445875
RC/Helitron	0	0.0471434166667
DNA/Transib	0	8.33333333333e-06
DNA/TcMar	0	0.0807166666667
DNA/Sola	0	0.00329083333333
DNA/PiggyBac	0	0.0077825
DNA/P	0	0.000818166666667
DNA	0	0.0958936666667
DNA/Maverick	0	0.00785316666667
DNA/Kolobok	0	0.000133333333333
DNA/hAT	0	0.10870125
DNA/Harbinger	0	0.00193875
DNA/Ginger	0	0
DNA/Academ	0	0.00112908333333
Other	0	0.000247833333333
SINE	1	0.000622916666667
LINE/R2	1	0.00094225
LINE/Jockey-I	1	0.0106653333333
LINE/R1	1	0.00496483333333
LINE/LOA	1	0.000599833333333
LINE/L2	1	0.0039525
LINE/CR1	1	0.00478116666667
LINE/RTE	1	0.0154454166667
LINE	1	0.0149145
LINE/L1	1	0
LTR	1	0.0107448333333
LTR/Gypsy	1	0.03329225
LTR/Copia	1	0.01617725
RC/Helitron	1	0.0282404166667
DNA/Transib	1	2.26666666667e-05
DNA/TcMar	1	0.0216223333333
DNA/Sola	1	0.01481825
DNA/PiggyBac	1	0.00475116666667
DNA/P	1	0.00241966666667
DNA	1	0.06651375
DNA/Maverick	1	0.03352275
DNA/Kolobok	1	0.000194333333333
DNA/hAT	1	0.1589605
DNA/Harbinger	1	0.00633516666667
DNA/Ginger	1	0
DNA/Academ	1	0.00269
Other	1	0.000266
SINE	2	0.00180866666667
LINE/R2	2	0.000341333333333
LINE/Jockey-I	2	0.01792975
LINE/R1	2	0.0063185
LINE/LOA	2	0.000182916666667
LINE/L2	2	0.00347633333333
LINE/CR1	2	0.0038595
LINE/RTE	2	0.0271178333333
LINE	2	0.0176628333333
LINE/L1	2	0
LTR	2	0.0111715
LTR/Gypsy	2	0.0422426666667
LTR/Copia	2	0.01679075
RC/Helitron	2	0.0210321666667
