Type	Kimura	Genome_percent
SINE	0	0.000671583333333
LINE/R2	0	0.00019
LINE/Jockey-I	0	0.00813366666667
LINE/R1	0	0.00746575
LINE/LOA	0	0.000958083333333
LINE/L2	0	0.00180008333333
LINE/CR1	0	0.00354591666667
LINE/RTE	0	0.00267908333333
LINE	0	0.00554616666667
LINE/L1	0	5.13333333333e-05
LTR	0	0.00690083333333
LTR/Gypsy	0	0.0223114166667
LTR/Copia	0	0.00534875
RC/Helitron	0	0.0303331666667
DNA/Transib	0	0
DNA/TcMar	0	0.0286206666667
DNA/Sola	0	0.000980583333333
DNA/PiggyBac	0	0.00301408333333
DNA/P	0	0.000768666666667
DNA	0	0.0481904166667
DNA/Maverick	0	0.00359366666667
DNA/Kolobok	0	0.000504583333333
DNA/hAT	0	0.0568161666667
DNA/Harbinger	0	0.001885
DNA/Ginger	0	0
DNA/Academ	0	0.00043925
Other	0	0.000344583333333
SINE	1	0.00137791666667
LINE/R2	1	0.00012
LINE/Jockey-I	1	0.00997991666667
LINE/R1	1	0.00758233333333
LINE/LOA	1	0.00130058333333
LINE/L2	1	0.00238325
LINE/CR1	1	0.00722891666667
LINE/RTE	1	0.00422566666667
LINE	1	0.00695558333333
LINE/L1	1	8.31666666667e-05
LTR	1	0.0106748333333
LTR/Gypsy	1	0.0583774166667
LTR/Copia	1	0.0101971666667
RC/Helitron	1	0.0360554166667
DNA/Transib	1	3.71666666667e-05
DNA/TcMar	1	0.02973725
DNA/Sola	1	0.004584
DNA/PiggyBac	1	0.00290616666667
DNA/P	1	0.00130641666667
DNA	1	0.0503323333333
DNA/Maverick	1	0.0138600833333
DNA/Kolobok	1	0.0004085
DNA/hAT	1	0.139855833333
DNA/Harbinger	1	0.00192658333333
DNA/Ginger	1	0
DNA/Academ	1	0.00098875
Other	1	0.00033925
SINE	2	0.00169991666667
LINE/R2	2	0.000456833333333
LINE/Jockey-I	2	0.01634675
LINE/R1	2	0.00722525
LINE/LOA	2	0.0001855
LINE/L2	2	0.00187008333333
LINE/CR1	2	0.00932008333333
LINE/RTE	2	0.00547616666667
LINE	2	0.0078305
LINE/L1	2	5.41666666667e-05
LTR	2	0.010975
LTR/Gypsy	2	0.0980028333333
LTR/Copia	2	0.014085
RC/Helitron	2	0.05006675
DNA/Transib	2	0.000159916666667
DNA/TcMar	2	0.03750725
DNA/Sola	2	0.00556616666667
DNA/PiggyBac	2	0.00163275
DNA/P	2	0.00105283333333
DNA	2	0.0564275
DNA/Maverick	2	0.020454
DNA/Kolobok	2	0.000303166666667
DNA/hAT	2	0.22616275
DNA/Harbinger	2	0.00331975
DNA/Ginger	2	0
DNA/Academ	2	0.00218958333333
Other	2	0.00129108333333
SINE	3	0.0016465
LINE/R2	3	0.001295
LINE/Jockey-I	3	0.0225526666667
LINE/R1	3	0.00558341666667
LINE/LOA	3	2.125e-05
LINE/L2	3	0.00163491666667
LINE/CR1	3	0.0190169166667
LINE/RTE	3	0.0155994166667
LINE	3	0.00753025
LINE/L1	3	1.68333333333e-05
LTR	3	0.00868683333333
LTR/Gypsy	3	0.116120166667
LTR/Copia	3	0.0173144166667
RC/Helitron	3	0.04976775
DNA/Transib	3	2.21666666667e-05
DNA/TcMar	3	0.0336885
DNA/Sola	3	0.00642925
DNA/PiggyBac	3	0.00160166666667
DNA/P	3	0.00089675
DNA	3	0.0502248333333
DNA/Maverick	3	0.0220948333333
DNA/Kolobok	3	0.000153416666667
DNA/hAT	3	0.284735333333
DNA/Harbinger	3	0.00348416666667
DNA/Ginger	3	0
DNA/Academ	3	0.00255016666667
Other	3	0.00373825
SINE	4	0.00270575
LINE/R2	4	0.00310266666667
LINE/Jockey-I	4	0.0297103333333
LINE/R1	4	0.00541233333333
LINE/LOA	4	2.09166666667e-05
LINE/L2	4	0.00193016666667
LINE/CR1	4	0.036667
LINE/RTE	4	0.0335658333333
LINE	4	0.00618741666667
LINE/L1	4	0
LTR	4	0.00797216666667
LTR/Gypsy	4	0.10940475
LTR/Copia	4	0.02038675
RC/Helitron	4	0.0315075833333
DNA/Transib	4	1.00833333333e-05
DNA/TcMar	4	0.0430940833333
DNA/Sola	4	0.00655433333333
DNA/PiggyBac	4	0.00181816666667
DNA/P	4	0.000871583333333
DNA	4	0.056504
DNA/Maverick	4	0.0296184166667
DNA/Kolobok	4	0.000339416666667
DNA/hAT	4	0.299072
DNA/Harbinger	4	0.00734108333333
DNA/Ginger	4	0
DNA/Academ	4	0.00297991666667
Other	4	0.00437291666667
SINE	5	0.00383083333333
LINE/R2	5	0.00800458333333
LINE/Jockey-I	5	0.0350359166667
LINE/R1	5	0.00718541666667
LINE/LOA	5	1.38333333333e-05
LINE/L2	5	0.00314908333333
LINE/CR1	5	0.04317775
LINE/RTE	5	0.0641569166667
LINE	5	0.00746366666667
LINE/L1	5	1.75e-06
LTR	5	0.0079075
LTR/Gypsy	5	0.105964166667
LTR/Copia	5	0.0298870833333
RC/Helitron	5	0.0177426666667
DNA/Transib	5	0
DNA/TcMar	5	0.0528504166667
DNA/Sola	5	0.005776
DNA/PiggyBac	5	0.00265425
DNA/P	5	0.00061225
DNA	5	0.0728795833333
DNA/Maverick	5	0.0501919166667
DNA/Kolobok	5	0.000408333333333
DNA/hAT	5	0.270984833333
DNA/Harbinger	5	0.0150814166667
DNA/Ginger	5	0
DNA/Academ	5	0.00560908333333
Other	5	0.00465383333333
SINE	6	0.00592825
LINE/R2	6	0.0146563333333
LINE/Jockey-I	6	0.03915775
LINE/R1	6	0.00957541666667
LINE/LOA	6	7.16666666667e-06
LINE/L2	6	0.003663
LINE/CR1	6	0.0429456666667
