Type	Kimura	Genome_percent
SINE	0	0.00035925
LINE/R2	0	0.00110658333333
LINE/Jockey-I	0	0.00193683333333
LINE/R1	0	0.000577916666667
LINE/LOA	0	0.0002875
LINE/L2	0	0.000346
LINE/CR1	0	0.000422916666667
LINE/RTE	0	0.00105516666667
LINE	0	0.000325
LINE/L1	0	0
LTR	0	0.0004295
LTR/Gypsy	0	0.00331083333333
LTR/Copia	0	0.00089475
RC/Helitron	0	0.00540775
DNA/Transib	0	0
DNA/TcMar	0	0.00569233333333
DNA/Sola	0	0.000163333333333
DNA/PiggyBac	0	9.2e-05
DNA/P	0	0.000363833333333
DNA	0	0.00721525
DNA/Maverick	0	0.003648
DNA/Kolobok	0	8.33333333333e-06
DNA/hAT	0	0.0374879166667
DNA/Harbinger	0	0.00047625
DNA/Ginger	0	2.58333333333e-06
DNA/Academ	0	1.93333333333e-05
Other	0	0.000191666666667
SINE	1	0.00042125
LINE/R2	1	0.00137316666667
LINE/Jockey-I	1	0.00178275
LINE/R1	1	0.0008155
LINE/LOA	1	0.000140083333333
LINE/L2	1	0.000400583333333
LINE/CR1	1	0.0006365
LINE/RTE	1	0.00120808333333
LINE	1	0.00044425
LINE/L1	1	0
LTR	1	0.000773916666667
LTR/Gypsy	1	0.00456058333333
LTR/Copia	1	0.00221175
RC/Helitron	1	0.00633525
DNA/Transib	1	0
DNA/TcMar	1	0.00653875
DNA/Sola	1	0.00029325
DNA/PiggyBac	1	0.000302
DNA/P	1	0.000162833333333
DNA	1	0.0104214166667
DNA/Maverick	1	0.00681641666667
DNA/Kolobok	1	0
DNA/hAT	1	0.0590618333333
DNA/Harbinger	1	0.000559166666667
DNA/Ginger	1	0
DNA/Academ	1	7.58333333333e-05
Other	1	0.000386833333333
SINE	2	0.0008135
LINE/R2	2	0.00204366666667
LINE/Jockey-I	2	0.00320158333333
LINE/R1	2	0.001704
LINE/LOA	2	0.000187
LINE/L2	2	0.000379
LINE/CR1	2	0.00104166666667
LINE/RTE	2	0.00285525
LINE	2	0.00096975
LINE/L1	2	0
LTR	2	0.000799166666667
LTR/Gypsy	2	0.00602025
LTR/Copia	2	0.0028215
RC/Helitron	2	0.00954583333333
DNA/Transib	2	0
DNA/TcMar	2	0.00787733333333
DNA/Sola	2	0.000627833333333
DNA/PiggyBac	2	0.0002695
DNA/P	2	0.00013925
DNA	2	0.0154098333333
DNA/Maverick	2	0.0111668333333
DNA/Kolobok	2	0
DNA/hAT	2	0.0737565
DNA/Harbinger	2	0.000871916666667
DNA/Ginger	2	1.48333333333e-05
DNA/Academ	2	0.000176583333333
Other	2	0.000873333333333
SINE	3	0.00132541666667
LINE/R2	3	0.004379
LINE/Jockey-I	3	0.00698975
LINE/R1	3	0.00378516666667
LINE/LOA	3	0.000107583333333
LINE/L2	3	0.000771583333333
LINE/CR1	3	0.00257358333333
LINE/RTE	3	0.00428566666667
LINE	3	0.00103575
LINE/L1	3	0
LTR	3	0.001319
LTR/Gypsy	3	0.0126305
LTR/Copia	3	0.005528
RC/Helitron	3	0.0103791666667
DNA/Transib	3	0
DNA/TcMar	3	0.0118506666667
DNA/Sola	3	0.001056
DNA/PiggyBac	3	0.0004475
DNA/P	3	0.000357916666667
DNA	3	0.0296295
DNA/Maverick	3	0.0248914166667
DNA/Kolobok	3	5.01666666667e-05
DNA/hAT	3	0.13990775
DNA/Harbinger	3	0.00178975
DNA/Ginger	3	2.61666666667e-05
DNA/Academ	3	0.000641833333333
Other	3	0.00256533333333
SINE	4	0.00261866666667
LINE/R2	4	0.00810733333333
LINE/Jockey-I	4	0.0135360833333
LINE/R1	4	0.00581166666667
LINE/LOA	4	1.875e-05
LINE/L2	4	0.00134541666667
LINE/CR1	4	0.00655683333333
LINE/RTE	4	0.00953133333333
LINE	4	0.00199908333333
LINE/L1	4	0
LTR	4	0.00207241666667
LTR/Gypsy	4	0.0178975833333
LTR/Copia	4	0.0074395
RC/Helitron	4	0.00860025
DNA/Transib	4	0
DNA/TcMar	4	0.02131725
DNA/Sola	4	0.00143566666667
DNA/PiggyBac	4	0.000336416666667
DNA/P	4	0.000554916666667
DNA	4	0.0416255
DNA/Maverick	4	0.0357444166667
DNA/Kolobok	4	9.33333333333e-05
DNA/hAT	4	0.17204025
DNA/Harbinger	4	0.00364641666667
DNA/Ginger	4	0.000116416666667
DNA/Academ	4	0.000987333333333
Other	4	0.0033395
SINE	5	0.00573825
LINE/R2	5	0.01462275
LINE/Jockey-I	5	0.0193133333333
LINE/R1	5	0.00707116666667
LINE/LOA	5	5.08333333333e-06
LINE/L2	5	0.00199466666667
LINE/CR1	5	0.0124299166667
LINE/RTE	5	0.0157463333333
LINE	5	0.00254783333333
LINE/L1	5	0
LTR	5	0.00173516666667
LTR/Gypsy	5	0.0282481666667
LTR/Copia	5	0.00950725
RC/Helitron	5	0.00702241666667
DNA/Transib	5	0
DNA/TcMar	5	0.030308
DNA/Sola	5	0.001626
DNA/PiggyBac	5	0.0005475
DNA/P	5	0.000451083333333
DNA	5	0.0623194166667
DNA/Maverick	5	0.0616129166667
DNA/Kolobok	5	0.000265083333333
DNA/hAT	5	0.198161916667
DNA/Harbinger	5	0.00466666666667
DNA/Ginger	5	0.000178833333333
DNA/Academ	5	0.00139091666667
Other	5	0.004242
SINE	6	0.0132085
LINE/R2	6	0.0267664166667
LINE/Jockey-I	6	0.0247738333333
LINE/R1	6	0.0088675
LINE/LOA	6	0
LINE/L2	6	0.00211408333333
LINE/CR1	6	0.0154705833333
LINE/RTE	6	0.02990625
LINE	6	0.00489166666667
LINE/L1	6	0
LTR	6	0.00291133333333
LTR/Gypsy	6	0.0318771666667
LTR/Copia	6	0.01206225
RC/Helitron	6	0.0052235
DNA/Transib	6	0
DNA/TcMar	6	0.03841825
DNA/Sola	6	0.00208175
DNA/PiggyBac	6	0.000599333333333
DNA/P	6	0.000298916666667
DNA	6	0.0800538333333
DNA/Maverick	6	0.0854089166667
DNA/Kolobok	6	0.000307083333333
DNA/hAT	6	0.2084765
DNA/Harbinger	6	0.00439308333333
DNA/Ginger	6	0.000772666666667
DNA/Academ	6	0.000939583333333
Other	6	0.00388291666667
SINE	7	0.02324275
LINE/R2	7	0.0461195
LINE/Jockey-I	7	0.0279980833333
LINE/R1	7	0.00893358333333
LINE/LOA	7	0
LINE/L2	7	0.00314283333333
LINE/CR1	7	0.01418325
LINE/RTE	7	0.0483190833333
LINE	7	0.00593633333333
LINE/L1	7	0
LTR	7	0.00384083333333
LTR/Gypsy	7	0.0315829166667
LTR/Copia	7	0.0124744166667
RC/Helitron	7	0.0061715
DNA/Transib	7	0
DNA/TcMar	7	0.0437835
DNA/Sola	7	0.00141775
DNA/PiggyBac	7	0.000357083333333
DNA/P	7	0.000533916666667
DNA	7	0.0964714166667
DNA/Maverick	7	0.106287166667
DNA/Kolobok	7	0.000111916666667
DNA/hAT	7	0.203753916667
DNA/Harbinger	7	0.00526825
DNA/Ginger	7	0.00133483333333
DNA/Academ	7	0.00106633333333
Other	7	0.004489
SINE	8	0.0400648333333
LINE/R2	8	0.0695469166667
LINE/Jockey-I	8	0.0333238333333
LINE/R1	8	0.00547875
LINE/LOA	8	0
LINE/L2	8	0.00415775
LINE/CR1	8	0.0126451666667
LINE/RTE	8	0.0740579166667
LINE	8	0.00916383333333
LINE/L1	8	0
LTR	8	0.00291866666667
LTR/Gypsy	8	0.0307658333333
