"","div_g","Nreadcounts","feat_len","r_cov","div_a","r_cov_n","sp"
"1","[0,2]",357910,11847531,3.02096698459789,1,4.68919831728333,"Tce"
"2","(2,4]",570689,28197653,2.02388830020711,3,3.14151517050222,"Tce"
"3","(4,6]",551138,36978401,1.49043221203643,5,2.31347520722288,"Tce"
"4","(6,8]",614738,42223671,1.45590846423562,7,2.25988683604264,"Tce"
"5","(8,10]",564268,42693263,1.32167925417179,9,2.05153388509328,"Tce"
"6","(10,12]",495878,43161003,1.1489028649311,11,1.78334732170998,"Tce"
"7","(12,14]",426463,45415460,0.939026049719633,13,1.45757282177535,"Tce"
"8","(14,16]",397594,46616554,0.852903026680179,15,1.32389114409567,"Tce"
"9","(16,18]",318423,45624260,0.697924744423252,17,1.08333111676675,"Tce"
"10","(18,20]",254044,43017887,0.590554343127081,19,0.916668883233251,"Tce"
"11","(20,22]",211710,39963272,0.529761426942218,21,0.822305044856266,"Tce"
"12","(22,24]",177499,36942555,0.480472993814315,23,0.745798668300926,"Tce"
"13","(24,26]",150900,33716915,0.447549842564185,25,0.694694771360349,"Tce"
"14","(26,28]",132017,30198905,0.437158234710828,27,0.67856473408809,"Tce"
"15","(28,30]",116669,26348491,0.442791961027294,29,0.687309503593316,"Tce"
"16","(30,32]",101404,21456782,0.472596496529629,31,0.73357263008146,"Tce"
"17","(32,34]",80098,15399540,0.520132419539804,33,0.807358729474895,"Tce"
"18","(34,36]",53715,9359373,0.573916650185862,35,0.890843562353809,"Tce"
"19","[0,2]",455504,17276279,2.63658626953177,1,3.44644195488186,"Tms"
"20","(2,4]",592340,31268745,1.89435169208102,3,2.47622208472205,"Tms"
"21","(4,6]",613537,36606811,1.67601870591787,5,2.19082578559736,"Tms"
"22","(6,8]",683352,40993067,1.666994079755,7,2.17902914894099,"Tms"
"23","(8,10]",633612,40566397,1.5619134230728,9,2.04167184414838,"Tms"
"24","(10,12]",543688,40723738,1.33506408473603,11,1.74514330415115,"Tms"
"25","(12,14]",489657,43292574,1.13104154998961,13,1.47845306472413,"Tms"
"26","(14,16]",421138,44107034,0.954809158103898,15,1.24808900790457,"Tms"
"27","(16,18]",350015,43067216,0.812717961616093,17,1.06235297997558,"Tms"
"28","(18,20]",288721,40250194,0.71731579728535,19,0.93764702002442,"Tms"
"29","(20,22]",234348,37234240,0.629388433871619,21,0.822711826075677,"Tms"
"30","(22,24]",199122,34479460,0.577509044515198,23,0.754897127145544,"Tms"
"31","(24,26]",170241,31598376,0.538765030202818,25,0.704252474258671,"Tms"
"32","(26,28]",148237,28415312,0.521680001261292,27,0.681919595860232,"Tms"
"33","(28,30]",132616,24543841,0.540322926635648,29,0.706288895251039,"Tms"
"34","(30,32]",114125,19951234,0.572019755770495,31,0.747721744625037,"Tms"
"35","(32,34]",91592,14526466,0.630518117758304,33,0.824188504456285,"Tms"
"36","(34,36]",60805,8703338,0.698639993069326,35,0.913234742703908,"Tms"
