"","div_g","Nreadcounts","feat_len","r_cov","div_a","r_cov_n","sp"
"1","[0,2]",564030,13983413,4.03356462402991,1,5.91580701883276,"Tcm"
"2","(2,4]",892766,32551957,2.74258779587353,3,4.02240242685979,"Tcm"
"3","(4,6]",743789,42494293,1.75032680270737,5,2.56710789335566,"Tcm"
"4","(6,8]",753187,46258864,1.62820038122856,7,2.38799179910366,"Tcm"
"5","(8,10]",664972,45395230,1.46484994128238,9,2.14841470805967,"Tcm"
"6","(10,12]",543906,44458793,1.22339353657217,11,1.7942839014731,"Tcm"
"7","(12,14]",479276,46307925,1.03497619467942,13,1.51794256631797,"Tcm"
"8","(14,16]",412465,47985937,0.859553914722974,15,1.26066037258701,"Tcm"
"9","(16,18]",345851,47217720,0.732460186557081,17,1.07425900327358,"Tcm"
"10","(18,20]",280662,44465082,0.631196407104343,19,0.925740996726424,"Tcm"
"11","(20,22]",232137,41477013,0.559676271770101,21,0.820846354385113,"Tcm"
"12","(22,24]",192625,38083119,0.505801533745175,23,0.741831244165506,"Tcm"
"13","(24,26]",163417,34341313,0.475861246190558,25,0.697919473865291,"Tcm"
"14","(26,28]",144263,30691855,0.470036757309065,27,0.689377016902788,"Tcm"
"15","(28,30]",124415,26411861,0.471057302626271,29,0.690873794496135,"Tcm"
"16","(30,32]",106996,21542951,0.496663618647232,31,0.728429167513043,"Tcm"
"17","(32,34]",84013,15609684,0.538210767110981,33,0.789364081268998,"Tcm"
"18","(34,36]",55124,9325556,0.591106846605178,35,0.866943846937379,"Tcm"
"19","[0,2]",540422,18222657,2.9656597278871,1,3.99992532011152,"Tsi"
"20","(2,4]",688610,35201242,1.9562093860211,3,2.6384319755255,"Tsi"
"21","(4,6]",674264,42473403,1.58749700371312,5,2.1411321740803,"Tsi"
"22","(6,8]",716515,45275287,1.58257417562036,7,2.13449252336459,"Tsi"
"23","(8,10]",649917,43980111,1.4777520684293,9,1.99311399746078,"Tsi"
"24","(10,12]",549514,42955851,1.27925297068378,11,1.72538889075839,"Tsi"
"25","(12,14]",483649,44560809,1.08536853538723,13,1.46388779721562,"Tsi"
"26","(14,16]",421167,45974515,0.916087967431522,15,1.23557110140531,"Tsi"
"27","(16,18]",359558,45012404,0.79879759365885,17,1.07737603558334,"Tsi"
"28","(18,20]",288157,42124524,0.684059955193796,19,0.922623964416655,"Tsi"
"29","(20,22]",246202,39407226,0.624763590312091,21,0.842648156993231,"Tsi"
"30","(22,24]",198790,35859352,0.554360268417566,23,0.747691872151172,"Tsi"
"31","(24,26]",169481,32466551,0.522017260164161,25,0.704069329610345,"Tsi"
"32","(26,28]",148218,28898548,0.512890820673758,27,0.691760069698678,"Tsi"
"33","(28,30]",129760,24870884,0.521734571235988,29,0.703688053703712,"Tsi"
"34","(30,32]",111588,20289327,0.549983742684023,31,0.741789045224971,"Tsi"
"35","(32,34]",89210,14755099,0.604604550603151,33,0.815458708182671,"Tsi"
"36","(34,36]",57535,8864804,0.649027321980272,35,0.875373797681987,"Tsi"
