"","div_g","Nreadcounts","feat_len","r_cov","div_a","r_cov_n","sp"
"1","[0,2]",217119,1718567,12.6337233287966,1,18.6250524206037,"Tpa"
"2","(2,4]",502120,8914124,5.63285859608863,3,8.30414628369039,"Tpa"
"3","(4,6]",568703,21341749,2.66474411258421,5,3.92845382890805,"Tpa"
"4","(6,8]",602107,31111185,1.93533933214052,7,2.85314119794063,"Tpa"
"5","(8,10]",576390,36205039,1.59201596219797,9,2.34700254063577,"Tpa"
"6","(10,12]",495794,40769639,1.21608631364138,11,1.79279462990321,"Tpa"
"7","(12,14]",457913,44272076,1.03431562594896,13,1.52482227538094,"Tpa"
"8","(14,16]",376454,44581287,0.84442156189883,15,1.24487417099008,"Tpa"
"9","(16,18]",310471,42856829,0.72443763863164,17,1.06798990636578,"Tpa"
"10","(18,20]",255025,40339293,0.63219997435255,19,0.93201009363422,"Tpa"
"11","(20,22]",207930,37486884,0.554674002779212,21,0.81771874444657,"Tpa"
"12","(22,24]",178180,35340855,0.50417569127855,23,0.743272464883996,"Tpa"
"13","(24,26]",152090,32791109,0.463814749296829,25,0.683771030461964,"Tpa"
"14","(26,28]",138841,30084400,0.461504966028905,27,0.680365871640157,"Tpa"
"15","(28,30]",123448,26057340,0.473755187597813,29,0.698425553093277,"Tpa"
"16","(30,32]",107762,21597135,0.498964330222504,31,0.735589704202487,"Tpa"
"17","(32,34]",85278,15541278,0.548719352423913,33,0.808940202117641,"Tpa"
"18","(34,36]",57743,9464773,0.61008330574859,35,0.899404969919111,"Tpa"
"19","[0,2]",309592,10361629,2.98786995751344,1,4.50836953323834,"Tge"
"20","(2,4]",365214,20556889,1.77660150813676,3,2.68069769631299,"Tge"
"21","(4,6]",479721,28945306,1.65733608067574,5,2.50073918835256,"Tge"
"22","(6,8]",533052,34392178,1.5499221945176,7,2.33866336219944,"Tge"
"23","(8,10]",482631,35851563,1.3461923542915,9,2.03125727768187,"Tge"
"24","(10,12]",446151,39089367,1.14136153701338,11,1.72218993900375,"Tge"
"25","(12,14]",410529,42615149,0.963340524750952,13,1.45357566884719,"Tge"
"26","(14,16]",343480,42691326,0.804566248422455,15,1.21400262174675,"Tge"
"27","(16,18]",282938,41180531,0.687067391141702,17,1.03670967530416,"Tge"
"28","(18,20]",232783,38570171,0.60353115883256,19,0.910662621711007,"Tge"
"29","(20,22]",190895,35439129,0.538656014937613,21,0.812773113011024,"Tge"
"30","(22,24]",165609,33134927,0.499801915966195,23,0.754146519974843,"Tge"
"31","(24,26]",144623,30524314,0.473796069585708,25,0.714906537253026,"Tge"
"32","(26,28]",130166,27696426,0.469973995922795,27,0.709139445411449,"Tge"
"33","(28,30]",119534,24192802,0.494089109645092,29,0.745526518993012,"Tge"
"34","(30,32]",103279,19875187,0.519637878124115,31,0.784076821067887,"Tge"
"35","(32,34]",82799,14482817,0.571705076436442,33,0.862640538328101,"Tge"
"36","(34,36]",55882,8753315,0.638409562548589,35,0.963290324695843,"Tge"
