"","div_g","Nreadcounts","feat_len","r_cov","div_a","r_cov_n","sp"
"1","[0,2]",454780,11300484,4.02442939612144,1,6.30928929181213,"Tps"
"2","(2,4]",654333,29797340,2.19594433597093,3,3.44268633404516,"Tps"
"3","(4,6]",582555,38522745,1.51223647224516,5,2.37080501156747,"Tps"
"4","(6,8]",596441,42391701,1.40697586067613,7,2.20578294656065,"Tps"
"5","(8,10]",512849,41387140,1.23915061538439,9,1.94267533084863,"Tps"
"6","(10,12]",456926,41312201,1.1060316055298,11,1.7339783304188,"Tps"
"7","(12,14]",408959,43966732,0.930155554886363,13,1.45824908440933,"Tps"
"8","(14,16]",357683,44684292,0.800466973942431,15,1.25493013047056,"Tps"
"9","(16,18]",300999,43944999,0.684944832971779,17,1.07382057797207,"Tps"
"10","(18,20]",245521,41559436,0.590770769843941,19,0.926179422027935,"Tps"
"11","(20,22]",200413,38886948,0.515373435837649,21,0.807975437001997,"Tps"
"12","(22,24]",167546,35472739,0.47232326773526,23,0.74048364179722,"Tps"
"13","(24,26]",144012,32326185,0.445496429597245,25,0.698425932259445,"Tps"
"14","(26,28]",123783,29033429,0.426346471166048,27,0.668403632008622,"Tps"
"15","(28,30]",109833,25025949,0.438876463785649,29,0.688047497133333,"Tps"
"16","(30,32]",94037,20373486,0.461565585781442,31,0.723618312361608,"Tps"
"17","(32,34]",73655,14528092,0.506983298288585,33,0.794821819486391,"Tps"
"18","(34,36]",48024,8898656,0.539677002909203,35,0.846077294528725,"Tps"
"19","[0,2]",447262,15910750,2.81106798862404,1,4.0119499401339,"Tdi"
"20","(2,4]",612278,34299661,1.78508469806742,3,2.54766888475402,"Tdi"
"21","(4,6]",610396,40596516,1.50356744898996,5,2.14588809711258,"Tdi"
"22","(6,8]",639656,43073773,1.48502430934016,7,2.11942336971753,"Tdi"
"23","(8,10]",569653,41724922,1.3652583940121,9,1.94849372348521,"Tdi"
"24","(10,12]",491139,41287897,1.18954714501443,11,1.69771902228629,"Tdi"
"25","(12,14]",445131,43593423,1.0210966915812,13,1.45730691226196,"Tdi"
"26","(14,16]",386267,44783374,0.862523221229379,15,1.23099121037947,"Tdi"
"27","(16,18]",328445,43863567,0.748787712590725,17,1.06866814707381,"Tdi"
"28","(18,20]",267046,40922841,0.652559777069241,19,0.931331852926191,"Tdi"
"29","(20,22]",224175,38427930,0.583364755790905,21,0.832576873466919,"Tdi"
"30","(22,24]",185491,34991381,0.530104827814598,23,0.756564423493886,"Tdi"
"31","(24,26]",156529,31685041,0.494015456694533,25,0.705057753825791,"Tdi"
"32","(26,28]",138493,28358979,0.488356791688445,27,0.696981719797342,"Tdi"
"33","(28,30]",119214,24494885,0.486689363922305,29,0.694601970622431,"Tdi"
"34","(30,32]",105125,19985640,0.526002669917,31,0.75070983292607,"Tdi"
"35","(32,34]",82486,14271621,0.577972186901544,33,0.824880611220544,"Tdi"
"36","(34,36]",53829,8719436,0.617344975064901,35,0.881073366342132,"Tdi"
