HOG,align_pos,gene_name,gene_codon,genome_coords,poly_nucl,poly_aa
Tbi__HOG_11041,2224,TBI_00707-RA,1763,4_Tbi_b3v08_scaf000557_pos_191729;4_Tbi_b3v08_scaf000557_pos_191730;4_Tbi_b3v08_scaf000557_pos_191731,fixed,fixed
Tbi__HOG_1193,230,TBI_01505-RA,81,4_Tbi_b3v08_scaf000745_pos_221868;4_Tbi_b3v08_scaf000745_pos_221867;4_Tbi_b3v08_scaf000745_pos_221866,fixed,fixed
Tbi__HOG_1193,232,TBI_01505-RA,83,4_Tbi_b3v08_scaf000745_pos_221862;4_Tbi_b3v08_scaf000745_pos_221861;4_Tbi_b3v08_scaf000745_pos_221860,fixed,fixed
Tbi__HOG_13342,3,TBI_09011-RA,3,4_Tbi_b3v08_scaf004310_pos_22944;4_Tbi_b3v08_scaf004310_pos_22943;4_Tbi_b3v08_scaf004310_pos_22942,poly,poly
Tbi__HOG_13342,33,TBI_09011-RA,6,4_Tbi_b3v08_scaf004310_pos_22935;4_Tbi_b3v08_scaf004310_pos_22934;4_Tbi_b3v08_scaf004310_pos_22933,poly,poly
Tbi__HOG_13342,1266,TBI_09011-RA,453,4_Tbi_b3v08_scaf004310_pos_11601;4_Tbi_b3v08_scaf004310_pos_11600;4_Tbi_b3v08_scaf004310_pos_11599,poly,poly
Tbi__HOG_13342,1575,TBI_09011-RA,663,4_Tbi_b3v08_scaf004310_pos_10018;4_Tbi_b3v08_scaf004310_pos_10017;4_Tbi_b3v08_scaf004310_pos_10016,poly,poly
Tbi__HOG_13342,1794,TBI_09011-RA,848,4_Tbi_b3v08_scaf004310_pos_7868;4_Tbi_b3v08_scaf004310_pos_7867;4_Tbi_b3v08_scaf004310_pos_7866,poly,poly
Tbi__HOG_14129,220,TBI_09498-RA,3,4_Tbi_b3v08_scaf002279_pos_26278;4_Tbi_b3v08_scaf002279_pos_26277;4_Tbi_b3v08_scaf002279_pos_26276,fixed,fixed
Tbi__HOG_14129,1259,TBI_09498-RA,427,4_Tbi_b3v08_scaf002279_pos_12882;4_Tbi_b3v08_scaf002279_pos_12881;4_Tbi_b3v08_scaf002279_pos_12880,fixed,fixed
