# HOG = Hierarchical orthologous group; sequence name given if present as a one-to-one HOG in at least 3 sister sp pairs (else = NA)
# species codes = Tbi = T. bartmani, Tce = T. cristinae, Tps = T. poppensis, Tcm = T. californicum, Tpa = T. podura, Tte = T. tahoe, Tms = T. monikensis, Tdi = T. douglasi, Tsi = T. shepardi, and Tge = T. genevievae
HOG	Tbi	Tte	Tce	Tms	Tcm	Tsi	Tpa	Tge	Tps	Tdi
HOG_16078	TBI_10873-RA	TTE_09094-RA	TCE_09770-RA	TMS_08867-RA	TCM_08185-RA	TSI_06024-RA	Tpa_TRINITY_DN142460_c0_g5::Tpa_TRINITY_DN142460_c0_g5_i1::g.11427::m.11427	TGE_09646-RA	TPS_10085-RA	Tdi_TRINITY_DN32265_c9_g5::Tdi_TRINITY_DN32265_c9_g5_i1::g.6058::m.6058
HOG_16343	TBI_08140-RA	TTE_06511-RA	TCE_00269-RA	TMS_04386-RA	TCM_01427-RB	TSI_01885-RA	TPA_04737-RA	TGE_05508-RA	TPS_03276-RA	TDI_02993-RA
HOG_22467	TBI_01098-RA	TTE_02347-RA	TCE_03913-RA	TMS_01843-RA	TCM_00975-RA	TSI_00562-RA	TPA_00097-RA	TGE_00882-RA	TPS_00301-RA	TDI_01042-RA
HOG_16071	TBI_04389-RA	TTE_06626-RA	TCE_03770-RA	TMS_09841-RA	TCM_04262-RA	TSI_06784-RA	TPA_07303-RA	TGE_04030-RA	TPS_05409-RA	TDI_11480-RA
HOG_22464	TBI_00923-RA	TTE_01797-RA	TCE_04964-RA	TMS_01476-RA	TCM_03034-RA	TSI_06923-RA	TPA_01272-RA	TGE_03174-RA	TPS_08701-RA	TDI_03370-RA
HOG_16077	TBI_05333-RA	TTE_00670-RA	TCE_02907-RA	TMS_04061-RA	TCM_06449-RA	TSI_00821-RA	TPA_00812-RA	TGE_07039-RA	TPS_03618-RA	TDI_00718-RA
HOG_19716	TBI_12265-RA	TTE_11491-RA	TCE_09879-RA	TMS_12200-RA	TCM_07165-RA	TSI_08620-RA	TPA_16134-RA	TGE_08766-RA	TPS_12976-RA	TDI_08994-RA
HOG_19715	TBI_01332-RA	TTE_03786-RA	TCE_03586-RA	TMS_05246-RA	TCM_04210-RA	TSI_01485-RA	TPA_08294-RA	TGE_02076-RA	TPS_08816-RA	TDI_02327-RA
HOG_19714	TBI_04267-RA	TTE_05111-RA	TCE_02132-RA	TMS_10475-RA	TCM_03612-RA	TSI_01688-RA	TPA_04766-RA	TGE_07460-RA	TPS_08611-RA	TDI_10067-RA
HOG_17294	TBI_03087-RB	TTE_04996-RA	TCE_07139-RA	TMS_07120-RA	TCM_03736-RA	TSI_03346-RA	TPA_05317-RA	TGE_07446-RA	TPS_02700-RA	TDI_05265-RA
HOG_22507	TBI_03845-RA	TTE_02816-RA	TCE_02403-RA	TMS_02559-RA	TCM_01140-RA	TSI_01363-RA	TPA_06926-RA	TGE_05550-RA	TPS_14521-RA	TDI_01483-RA
HOG_4022	TBI_05286-RA	TTE_01935-RA	TCE_00427-RA	TMS_03404-RA	TCM_11474-RA	TSI_02484-RA	Tpa_TRINITY_DN125748_c3_g3::Tpa_TRINITY_DN125748_c3_g3_i2::g.12581::m.12581	TGE_03786-RA	TPS_00693-RA	TDI_00268-RA
HOG_13730	TBI_09485-RA	TTE_00985-RA	TCE_00271-RA	TMS_00887-RA	TCM_07971-RA	TSI_08904-RA	TPA_03643-RA	TGE_07705-RA	TPS_12223-RA	TDI_07533-RA
HOG_23443	TBI_08956-RA	TTE_07195-RA	Tce_TRINITY_DN87780_c0_g1::Tce_TRINITY_DN87780_c0_g1_i1::g.18442::m.18442	Tms_TRINITY_DN65660_c0_g1::Tms_TRINITY_DN65660_c0_g1_i1::g.20985::m.20985	TCM_13945-RA	TSI_08448-RA	TPA_01476-RA	TGE_07887-RA	TPS_06610-RA	TDI_08495-RA
HOG_23440	TBI_07804-RA	TTE_07837-RA	TCE_12780-RA	TMS_12822-RA	TCM_12724-RA	TSI_09084-RA	TPA_15688-RA	TGE_07268-RA	TPS_14640-RA	TDI_12176-RA
HOG_23441	TBI_01189-RA	TTE_01471-RA	TCE_00248-RA	TMS_10042-RA	TCM_01038-RA	TSI_05792-RA	TPA_00776-RA	TGE_03121-RA	TPS_02347-RA	TDI_00689-RA
HOG_23447	TBI_04754-RA	TTE_05641-RA	TCE_03021-RA	TMS_00997-RA	TCM_08051-RA	TSI_06878-RA	TPA_16265-RA	TGE_10603-RA	TPS_07173-RA	Tdi_TRINITY_DN68349_c0_g1::Tdi_TRINITY_DN68349_c0_g1_i1::g.17443::m.17443
HOG_22662	TBI_09977-RA	TTE_10761-RA	TCE_09429-RA	TMS_01293-RA	TCM_00907-RA	TSI_00652-RA	TPA_03671-RA	TGE_10166-RA	TPS_09651-RA	TDI_06390-RA
HOG_11384	TBI_08771-RA	TTE_08262-RA	TCE_09490-RA	TMS_07496-RA	TCM_05565-RA	TSI_03186-RB	TPA_01810-RA	TGE_06305-RA	TPS_06622-RA	TDI_06949-RA
HOG_19397	Tbi_TRINITY_DN49277_c0_g1::Tbi_TRINITY_DN49277_c0_g1_i1::g.12673::m.12673	Tte_TRINITY_DN18654_c0_g1::Tte_TRINITY_DN18654_c0_g1_i1::g.13668::m.13668	Tce_TRINITY_DN98751_c0_g2::Tce_TRINITY_DN98751_c0_g2_i1::g.13959::m.13959	Tms_TRINITY_DN17056_c0_g1::Tms_TRINITY_DN17056_c0_g1_i1::g.7085::m.7085	Tcm_TRINITY_DN106637_c3_g1::Tcm_TRINITY_DN106637_c3_g1_i2::g.3885::m.3885	Tsi_TRINITY_DN31898_c0_g1::Tsi_TRINITY_DN31898_c0_g1_i1::g.893::m.893	Tpa_TRINITY_DN138750_c0_g4::Tpa_TRINITY_DN138750_c0_g4_i1::g.11063::m.11063	Tge_TRINITY_DN47182_c1_g1::Tge_TRINITY_DN47182_c1_g1_i1::g.11895::m.11895	TPS_01359-RA	Tdi_TRINITY_DN27915_c0_g1::Tdi_TRINITY_DN27915_c0_g1_i1::g.2144::m.2144
HOG_17290	TBI_07634-RA	TTE_10345-RA	TCE_02286-RA	TMS_05600-RA	TCM_00701-RA	TSI_04808-RA	TPA_05205-RA	TGE_06637-RA	TPS_10302-RA	TDI_07120-RA
HOG_5980	TBI_00143-RA	TTE_00413-RA	TCE_00494-RA	TMS_01309-RA	TCM_00298-RA	TSI_01994-RA	Tpa_TRINITY_DN111029_c0_g1::Tpa_TRINITY_DN111029_c0_g1_i1::g.22319::m.22319	TGE_06698-RA	TPS_01157-RA	TDI_00182-RA
